accession	status	symbol	title
XM_015470324.1	suppressed	LOC101902960	PREDICTED: Bos taurus cancer/testis antigen 1-like (LOC101902960), transcript variant X2, mRNA
XM_015470325.1	suppressed	LOC101903452	PREDICTED: Bos taurus testis-expressed sequence 13B protein (LOC101903452), mRNA
XM_015470326.1	suppressed	LOC104976349	PREDICTED: Bos taurus nik-related protein kinase-like (LOC104976349), mRNA
XM_015470327.1	suppressed	LOC539380	PREDICTED: Bos taurus PWWP domain-containing protein MUM1L1 (LOC539380), transcript variant X8, mRNA
XM_015470328.1	suppressed	LOC783509	PREDICTED: Bos taurus cancer/testis antigen 2-like (LOC783509), mRNA
XM_015470329.1	suppressed	LOC101907804	PREDICTED: Bos taurus EKC/KEOPS complex subunit LAGE3-like (LOC101907804), mRNA
XM_015470330.1	suppressed	TRMT2B	PREDICTED: Bos taurus tRNA methyltransferase 2 homolog B (TRMT2B), mRNA
XM_015470331.1	suppressed	NXF2	PREDICTED: Bos taurus nuclear RNA export factor 2 (NXF2), mRNA
XM_015470332.1	suppressed	TAF7L	PREDICTED: Bos taurus TATA-box binding protein associated factor 7 like (TAF7L), transcript variant X1, mRNA
XM_015470333.1	suppressed	TAF7L	PREDICTED: Bos taurus TATA-box binding protein associated factor 7 like (TAF7L), transcript variant X2, mRNA
XM_015470334.1	suppressed	LOC100337148	PREDICTED: Bos taurus nuclear RNA export factor 3 (LOC100337148), mRNA
XM_015470335.1	suppressed	LOC100850730	PREDICTED: Bos taurus nuclear RNA export factor 3-like (LOC100850730), mRNA
XM_015470336.1	suppressed	LOC101904164	PREDICTED: Bos taurus nuclear RNA export factor 3-like (LOC101904164), mRNA
XM_015470337.1	suppressed	LOC107132017	PREDICTED: Bos taurus nuclear RNA export factor 3-like (LOC107132017), mRNA
XM_015470338.1	suppressed	LOC100337305	PREDICTED: Bos taurus nuclear RNA export factor 3-like (LOC100337305), mRNA
XM_015470339.1	suppressed	LOC785244	PREDICTED: Bos taurus nuclear RNA export factor 3 (LOC785244), transcript variant X2, mRNA
XM_015470340.1	suppressed	LOC107131176	PREDICTED: Bos taurus TBC1 domain family member 8B-like (LOC107131176), mRNA
XM_015470341.1	suppressed	CXHXorf57	PREDICTED: Bos taurus chromosome X open reading frame, human CXorf57 (CXHXorf57), transcript variant X1, mRNA
XM_015470342.1	suppressed	CXHXorf57	PREDICTED: Bos taurus chromosome X open reading frame, human CXorf57 (CXHXorf57), transcript variant X2, mRNA
XM_015470343.1	suppressed	LOC100337331	PREDICTED: Bos taurus protein BEX4-like (LOC100337331), mRNA
XM_015470345.1	suppressed	LOC104970008	PREDICTED: Bos taurus transcription elongation factor A protein-like 5 (LOC104970008), mRNA
XM_015470346.1	suppressed	LOC616431	PREDICTED: Bos taurus late histone H2B.L4 (LOC616431), mRNA
XM_015470347.1	suppressed	LOC101902149	PREDICTED: Bos taurus serine protease 52 (LOC101902149), mRNA
