gse	run	layout	fastq_ftp
GSE300734	SRR34172935	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/035/SRR34172935/SRR34172935_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/035/SRR34172935/SRR34172935_2.fastq.gz
GSE300734	SRR34172934	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/034/SRR34172934/SRR34172934_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/034/SRR34172934/SRR34172934_2.fastq.gz
GSE300734	SRR34172938	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/038/SRR34172938/SRR34172938_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/038/SRR34172938/SRR34172938_2.fastq.gz
GSE235547	SRR24991729	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/029/SRR24991729/SRR24991729_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/029/SRR24991729/SRR24991729_2.fastq.gz
GSE235547	SRR24991723	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/023/SRR24991723/SRR24991723_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/023/SRR24991723/SRR24991723_2.fastq.gz
GSE235547	SRR24991728	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/028/SRR24991728/SRR24991728_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/028/SRR24991728/SRR24991728_2.fastq.gz
GSE235547	SRR24991724	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/024/SRR24991724/SRR24991724_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/024/SRR24991724/SRR24991724_2.fastq.gz
GSE248499	SRR26923893	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR269/093/SRR26923893/SRR26923893_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR269/093/SRR26923893/SRR26923893_2.fastq.gz
GSE248499	SRR26923891	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR269/091/SRR26923891/SRR26923891_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR269/091/SRR26923891/SRR26923891_2.fastq.gz
GSE248499	SRR26923894	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR269/094/SRR26923894/SRR26923894_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR269/094/SRR26923894/SRR26923894_2.fastq.gz
