gse	run	layout	fastq_ftp	fastq_bytes	fastq_md5
GSE280522	SRR30827781	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/081/SRR30827781/SRR30827781_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/081/SRR30827781/SRR30827781_2.fastq.gz	994503442;978107089	4ed706e47354302f7dd9fdcec8fe6c93;ba6ce92db1ab7c78a3fe0d8a32433ef1
GSE300734	SRR34172932	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/032/SRR34172932/SRR34172932_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/032/SRR34172932/SRR34172932_2.fastq.gz	2747825279;2766206053	1f7325b1fb9a22e4a8c446df014a7886;c6332a13437affbb6ba9c8cb4229d5c4
GSE300734	SRR34172934	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/034/SRR34172934/SRR34172934_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/034/SRR34172934/SRR34172934_2.fastq.gz	2650871783;2653979745	54214be5c81e45fa2d9b299dbd9cadea;b404fce9075681b83cbb1fc7aef497b6
GSE300734	SRR34172922	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/022/SRR34172922/SRR34172922_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/022/SRR34172922/SRR34172922_2.fastq.gz	1781460990;1737887418	e6d38062c705dc5f2f40c3f5c581ffba;2117989c6b759e34649d171078da915f
GSE300734	SRR34172937	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/037/SRR34172937/SRR34172937_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/037/SRR34172937/SRR34172937_2.fastq.gz	2606402539;2616155605	ee91e69d8a0670792171d9dd4326802e;4e7af6a59b483cac94292b346432ee36
GSE235547	SRR24991728	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/028/SRR24991728/SRR24991728_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/028/SRR24991728/SRR24991728_2.fastq.gz	1107154505;1129709397	59225dcb0c691153eb98391f746ca554;ca39743bae7912abc181372607ff8969
GSE235547	SRR24991731	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/031/SRR24991731/SRR24991731_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/031/SRR24991731/SRR24991731_2.fastq.gz	342723503;342303160	4d993e632d14c6f4874aa87d603f40bb;ec32caea902315bc34041118615cfead
GSE235547	SRR24991726	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/026/SRR24991726/SRR24991726_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/026/SRR24991726/SRR24991726_2.fastq.gz	994771595;1014228606	9e6d0bd32170c8eef3e5674f5fce519f;ed575bdc3a78eaf9ec45987b4c7cbafa
GSE235547	SRR24991723	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/023/SRR24991723/SRR24991723_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/023/SRR24991723/SRR24991723_2.fastq.gz	877186894;891332251	41fcdc8f236a4dceead274a6ccb3b82e;822a6d05f3ce829034e9410773454fb9
GSE248499	SRR26923902	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR269/002/SRR26923902/SRR26923902_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR269/002/SRR26923902/SRR26923902_2.fastq.gz	3026987914;3274676547	790f846c82d9a89f3e2535a8d4de5e37;bc7f0387f139cd8bc2ea9018263a9278
GSE248499	SRR26923893	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR269/093/SRR26923893/SRR26923893_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR269/093/SRR26923893/SRR26923893_2.fastq.gz	2487776533;2764696195	c20c4802e0843aa0667889bf36bff3cc;dc5f362747340948d7d515dfc2650815
GSE248499	SRR26923900	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR269/000/SRR26923900/SRR26923900_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR269/000/SRR26923900/SRR26923900_2.fastq.gz	1910151875;2096615541	a1a1d604cafe8269a18c47565486c935;218d04adb237ba73418556d9be46eb24
GSE162345	SRR16201700	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/000/SRR16201700/SRR16201700_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/000/SRR16201700/SRR16201700_2.fastq.gz	606291183;414621759	ccee14503ac0da7d33c82f7b5bb20777;58c6d422344b1d8dcb9dae62186562fa
GSE162345	SRR16201696	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/096/SRR16201696/SRR16201696_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/096/SRR16201696/SRR16201696_2.fastq.gz	529778518;348218781	5e179b05a02d8bfd6b99978a9dd70fbc;9619e53a70e01a937d1dd3eb8101c909
GSE162345	SRR16201702	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/002/SRR16201702/SRR16201702_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/002/SRR16201702/SRR16201702_2.fastq.gz	471654659;314596250	f8655e794e53105bc711952fa50210ec;99adf5c627ff6c291c802499367985cf
