gse	run_accession	title_clean	library_layout	read_count	gb
GSE300734	SRR34172936	WT_L2C_RNA-seq_r2 Mus musculus RNA-Seq	PAIRED	34635006	4.366049712
GSE300734	SRR34172937	WT_L2C_RNA-seq_r1 Mus musculus RNA-Seq	PAIRED	42742463	5.222558144
GSE300734	SRR34172934	KO_L2C_RNA-seq_r1 Mus musculus RNA-Seq	PAIRED	42419263	5.304851528
GSE300734	SRR34172939	KO_E2C_RNA-seq_r2 Mus musculus RNA-Seq	PAIRED	41786040	5.315979396
GSE300734	SRR34172932	KO_E2C_RNA-seq_r1 Mus musculus RNA-Seq	PAIRED	42021452	5.514031332
GSE300734	SRR34172938	KO_E2C_RNA-seq_r3 Mus musculus RNA-Seq	PAIRED	62471124	7.874581491
GSE300734	SRR34172919	WT_E2C_RNA-seq_r2 Mus musculus RNA-Seq	PAIRED	73156437	10.079188182
GSE235547	SRR24991731	Late 2-cell siCtrl rep2 Mus musculus RNA-Seq	PAIRED	13269559	0.685026663
GSE235547	SRR24991729	Late 2-cell siObox3_2 rep2 Mus musculus RNA-Seq	PAIRED	18475581	0.948482684
GSE235547	SRR24991727	ICSI late 2-cell rep2 Mus musculus RNA-Seq	PAIRED	15826071	1.65157556
GSE235547	SRR24991732	Late 2-cell siCtrl rep1 Mus musculus RNA-Seq	PAIRED	33613420	1.703077697
GSE235547	SRR24991723	SCNT Obox3 late 2-cell rep2 Mus musculus RNA-Seq	PAIRED	17368328	1.768519145
GSE235547	SRR24991730	Late 2-cell siObox3_2 rep1 Mus musculus RNA-Seq	PAIRED	38514943	1.944048643
GSE235547	SRR24991726	SCNT EGFP late 2-cell rep1 Mus musculus RNA-Seq	PAIRED	20299812	2.009000201
GSE235547	SRR24991728	ICSI late 2-cell rep1 Mus musculus RNA-Seq	PAIRED	22338440	2.236863902
GSE235547	SRR24991725	SCNT EGFP late 2-cell rep2 Mus musculus RNA-Seq	PAIRED	23004703	2.362876973
GSE248499	SRR26923904	IVF, rep1 Mus musculus RNA-Seq	PAIRED	13746217	2.611599218
GSE235547	SRR24991724	SCNT Obox3 late 2-cell rep1 Mus musculus RNA-Seq	PAIRED	30344547	3.020742208
GSE248499	SRR26923900	SCNT, cont, rep1 Mus musculus RNA-Seq	PAIRED	23211778	4.006767416
GSE248499	SRR26923899	SCNT, cont, rep2 Mus musculus RNA-Seq	PAIRED	28936848	5.145750618
GSE248499	SRR26923893	SCNT, Kdm3a-injected, rep2 Mus musculus RNA-Seq	PAIRED	29450592	5.252472728
GSE248499	SRR26923892	SCNT, Kdm4d-injected, rep1 Mus musculus RNA-Seq	PAIRED	31890520	5.644580195
GSE248499	SRR26923901	IVF, rep4 Mus musculus RNA-Seq	PAIRED	31087733	5.690269937
GSE248499	SRR26923891	SCNT, Kdm4d-injected, rep2 Mus musculus RNA-Seq	PAIRED	34203229	6.092290084
GSE248499	SRR26923902	IVF, rep3 Mus musculus RNA-Seq	PAIRED	34750251	6.301664461
GSE248499	SRR26923903	IVF, rep2 Mus musculus RNA-Seq	PAIRED	34953113	6.364125057
GSE248499	SRR26923894	SCNT, Kdm3a-injected, rep1 Mus musculus RNA-Seq	PAIRED	48964802	8.622639684
