gse	run	layout	fastq_ftp
GSE280522	SRR30827774	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/074/SRR30827774/SRR30827774_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/074/SRR30827774/SRR30827774_2.fastq.gz
GSE300734	SRR34172933	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/033/SRR34172933/SRR34172933_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/033/SRR34172933/SRR34172933_2.fastq.gz
GSE300734	SRR34172936	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/036/SRR34172936/SRR34172936_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/036/SRR34172936/SRR34172936_2.fastq.gz
GSE300734	SRR34172939	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/039/SRR34172939/SRR34172939_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/039/SRR34172939/SRR34172939_2.fastq.gz
GSE300734	SRR34172919	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/019/SRR34172919/SRR34172919_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/019/SRR34172919/SRR34172919_2.fastq.gz
GSE235547	SRR24991727	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/027/SRR24991727/SRR24991727_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/027/SRR24991727/SRR24991727_2.fastq.gz
GSE235547	SRR24991730	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/030/SRR24991730/SRR24991730_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/030/SRR24991730/SRR24991730_2.fastq.gz
GSE235547	SRR24991725	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/025/SRR24991725/SRR24991725_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/025/SRR24991725/SRR24991725_2.fastq.gz
GSE248499	SRR26923900	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR269/000/SRR26923900/SRR26923900_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR269/000/SRR26923900/SRR26923900_2.fastq.gz
GSE248499	SRR26923892	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR269/092/SRR26923892/SRR26923892_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR269/092/SRR26923892/SRR26923892_2.fastq.gz
GSE248499	SRR26923902	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR269/002/SRR26923902/SRR26923902_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR269/002/SRR26923902/SRR26923902_2.fastq.gz
