run_accession	library_layout	read_count	fastq_ftp	fastq_bytes	fastq_md5
SRR30827730	PAIRED	12961956	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/030/SRR30827730/SRR30827730_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/030/SRR30827730/SRR30827730_2.fastq.gz	550665297;541455769	5b4c23ee7407cd84fe57f312b4032b1d;1433beb1b7c980d154233e8573766de0
SRR16201703	PAIRED	20693082	ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/003/SRR16201703/SRR16201703_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/003/SRR16201703/SRR16201703_2.fastq.gz	655074280;439007777	4cf100b90adcea62989ffd41db4b4539;0503c0d53303c1bf7763289afa69057b
SRR30827783	PAIRED	15618140	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/083/SRR30827783/SRR30827783_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/083/SRR30827783/SRR30827783_2.fastq.gz	610583360;554807222	9811d05cb349bad4fcd7d735148d4ee6;2ac1f8aa720ff11a66a55b9f286603d7
SRR30827776	PAIRED	16143415	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/076/SRR30827776/SRR30827776_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/076/SRR30827776/SRR30827776_2.fastq.gz	606911801;571533592	63285c948ca24cf50f7e28ab135562d6;a11c19c312aa0a1521f6c105f9f1e95e
SRR22944193	PAIRED	10933009	ftp.sra.ebi.ac.uk/vol1/fastq/SRR229/093/SRR22944193/SRR22944193_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR229/093/SRR22944193/SRR22944193_2.fastq.gz	592542824;595655349	34df47d3e0971f226c3b11c0aefeb858;410ac43ed565158fb82d26ebfcf18e92
SRR30827778	PAIRED	14819791	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/078/SRR30827778/SRR30827778_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/078/SRR30827778/SRR30827778_2.fastq.gz	623956599;607297005	b56f3fbd1023a53af80b0ed0a1049159;8174c52ab98bf71791333950acddc4b7
SRR22944197	PAIRED	12119600	ftp.sra.ebi.ac.uk/vol1/fastq/SRR229/097/SRR22944197/SRR22944197_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR229/097/SRR22944197/SRR22944197_2.fastq.gz	643662828;650547250	d4a17b835e2800516b1efd9c46f571e2;9236adcc39bca4556d8f0a11afd75b2b
SRR30827772	PAIRED	19250111	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/072/SRR30827772/SRR30827772_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/072/SRR30827772/SRR30827772_2.fastq.gz	821205116;783700852	44c243307e2dc503e8216590561cf337;dbe86b6d2c1f8721c8fe497580e8e453
SRR30827782	PAIRED	16329173	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/082/SRR30827782/SRR30827782_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/082/SRR30827782/SRR30827782_2.fastq.gz	846802438;832640607	d0e43ee76f5db6d43dfb419676da6fbe;54a7dceef6374d2662ab179acb38bd84
SRR30827770	PAIRED	19267195	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/070/SRR30827770/SRR30827770_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/070/SRR30827770/SRR30827770_2.fastq.gz	882013311;885853339	4b1670a50ef76c7eb8b5d6e72fa8f0b2;bc75457e08e6a5339457964f2665f879
SRR30827719	PAIRED	20265729	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/019/SRR30827719/SRR30827719_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/019/SRR30827719/SRR30827719_2.fastq.gz	926376608;917891037	ec2ab2a3acb5c69065b9cf6dc3c59c52;ee6e9a6c6d980ead4ea2cf3f4af6bbce
SRR30827779	PAIRED	17370806	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/079/SRR30827779/SRR30827779_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/079/SRR30827779/SRR30827779_2.fastq.gz	950220323;909642182	79086724bcdccbefbccebe3914b470ba;e554e8eef8b7fcb3cbcb3ce4fc577515
SRR30827775	PAIRED	18330059	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/075/SRR30827775/SRR30827775_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/075/SRR30827775/SRR30827775_2.fastq.gz	996645684;889558590	00faf1dfdc08530e3824b3dd8b82f3a1;e8f11c46ef463635413addc5c4042c8c
SRR30827763	PAIRED	18727873	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/063/SRR30827763/SRR30827763_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/063/SRR30827763/SRR30827763_2.fastq.gz	976558540;938123060	0e6e4133878645c0fffa57c7bc224307;bafd44b71838617044c5186bdc409b3a
SRR30827781	PAIRED	23017740	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/081/SRR30827781/SRR30827781_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/081/SRR30827781/SRR30827781_2.fastq.gz	994503442;978107089	4ed706e47354302f7dd9fdcec8fe6c93;ba6ce92db1ab7c78a3fe0d8a32433ef1
SRR30827771	PAIRED	25491686	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/071/SRR30827771/SRR30827771_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/071/SRR30827771/SRR30827771_2.fastq.gz	1109689404;1046420220	aae4f75d07aef394527337b5c36c54ae;13bd76768a4c8c495bc83768bdf6fbf5
SRR30827741	PAIRED	22843483	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/041/SRR30827741/SRR30827741_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/041/SRR30827741/SRR30827741_2.fastq.gz	1200946706;1205834347	fe08d6aacb2a51684bb3df0b8c25408d;be2b20ccc163c6591132603b95d83a63
SRR30827780	PAIRED	25234485	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/080/SRR30827780/SRR30827780_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/080/SRR30827780/SRR30827780_2.fastq.gz	1231928914;1204850351	2ced1bef768c4795616c79ecd93d78a0;d9cf6bb03d2cd85a27cd3269f6666d2f
SRR30827752	PAIRED	22552458	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/052/SRR30827752/SRR30827752_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/052/SRR30827752/SRR30827752_2.fastq.gz	1238773422;1226167088	af27157caf22db88edd675b431cf3cbd;26d74ef13866d17f2478c0788743143c
SRR30827784	PAIRED	22875760	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/084/SRR30827784/SRR30827784_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/084/SRR30827784/SRR30827784_2.fastq.gz	1350560916;1117169257	b9e4e49abc5239046dc0e15ed49f9539;ff86d4ab4e1ddd9862fed01600e7db6d
SRR30827785	PAIRED	25312895	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/085/SRR30827785/SRR30827785_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/085/SRR30827785/SRR30827785_2.fastq.gz	1268784706;1272644175	84af6c5b62464554683a48c7e7623fd2;da84185ab88bd917b13f941d577757f0
SRR30827786	PAIRED	24974739	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/086/SRR30827786/SRR30827786_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/086/SRR30827786/SRR30827786_2.fastq.gz	1395644456;1404774715	47ec1815a2d3186d852d05696de9926f;97e2660c208231a54359cd8fbd638aa8
SRR22944198	PAIRED	26524683	ftp.sra.ebi.ac.uk/vol1/fastq/SRR229/098/SRR22944198/SRR22944198_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR229/098/SRR22944198/SRR22944198_2.fastq.gz	1396493736;1407744127	be63aa57dec81976d3f2e52f749fd573;3fc0d6d56c6f02e9cf4352148aa44c62
SRR30827773	PAIRED	27105248	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/073/SRR30827773/SRR30827773_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/073/SRR30827773/SRR30827773_2.fastq.gz	1481262719;1486055345	c318832a0f41e2fee2f35ef0a98112b7;7cf7a3872282c28bfb3dc70e4841833a
SRR22944194	PAIRED	28383956	ftp.sra.ebi.ac.uk/vol1/fastq/SRR229/094/SRR22944194/SRR22944194_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR229/094/SRR22944194/SRR22944194_2.fastq.gz	1481846582;1496126994	485808d110f2c7e488c9bceff98d95aa;1aceacbd3a4f4907afc4406aad8b6e9e
SRR30827714	PAIRED	28044404	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/014/SRR30827714/SRR30827714_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/014/SRR30827714/SRR30827714_2.fastq.gz	1618005443;1680595855	2d8ef58573e74bb75d13bb4fb539a4e6;64346ef57d75f144f69f14ca3c281364
SRR30827774	PAIRED	35898766	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/074/SRR30827774/SRR30827774_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/074/SRR30827774/SRR30827774_2.fastq.gz	1859469829;1869235257	f5f8d8c471a47dbd43fa039688875f17;3190eecddaa601f2d79828f08c5ac169
SRR34172921	PAIRED	25294579	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/021/SRR34172921/SRR34172921_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/021/SRR34172921/SRR34172921_2.fastq.gz	1672108849;1727806934	c0159527477ce2339eb732f248585057;d850986327d2092abdfcba2635b4134c
SRR34172922	PAIRED	29974281	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/022/SRR34172922/SRR34172922_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/022/SRR34172922/SRR34172922_2.fastq.gz	1781460990;1737887418	e6d38062c705dc5f2f40c3f5c581ffba;2117989c6b759e34649d171078da915f
SRR34172933	PAIRED	29544326	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/033/SRR34172933/SRR34172933_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/033/SRR34172933/SRR34172933_2.fastq.gz	1977485820;1900383739	4697c4a8113efc3eba70050ed3da1b5c;c263d843c7b3297139892480e8f041c0
SRR34172920	PAIRED	29053854	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/020/SRR34172920/SRR34172920_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/020/SRR34172920/SRR34172920_2.fastq.gz	1912756055;1981429175	158003e6ed897e866216b480a4042e1c;6abd4265fe4b26163e9552d60ea8e84b
SRR34172935	PAIRED	29631461	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/035/SRR34172935/SRR34172935_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/035/SRR34172935/SRR34172935_2.fastq.gz	1942390689;2064756842	8c174f6580589a58f53335800d465af8;35589bdbb7a459f4086d60e417530fbe
SRR34172936	PAIRED	34635006	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/036/SRR34172936/SRR34172936_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/036/SRR34172936/SRR34172936_2.fastq.gz	2184901892;2181147820	44e9b151e372e6c1db8e0e6afe5ab5b3;09286da7f0860a92fd965654e1a0b080
SRR34172937	PAIRED	42742463	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/037/SRR34172937/SRR34172937_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/037/SRR34172937/SRR34172937_2.fastq.gz	2606402539;2616155605	ee91e69d8a0670792171d9dd4326802e;4e7af6a59b483cac94292b346432ee36
SRR34172934	PAIRED	42419263	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/034/SRR34172934/SRR34172934_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/034/SRR34172934/SRR34172934_2.fastq.gz	2650871783;2653979745	54214be5c81e45fa2d9b299dbd9cadea;b404fce9075681b83cbb1fc7aef497b6
SRR34172939	PAIRED	41786040	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/039/SRR34172939/SRR34172939_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/039/SRR34172939/SRR34172939_2.fastq.gz	2654151491;2661827905	3a38127efb05ee9380817c9647031d69;cbb6459167cb68e1f9f2651134c09b14
SRR34172932	PAIRED	42021452	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/032/SRR34172932/SRR34172932_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/032/SRR34172932/SRR34172932_2.fastq.gz	2747825279;2766206053	1f7325b1fb9a22e4a8c446df014a7886;c6332a13437affbb6ba9c8cb4229d5c4
SRR34172938	PAIRED	62471124	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/038/SRR34172938/SRR34172938_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/038/SRR34172938/SRR34172938_2.fastq.gz	4023692404;3850889087	c497d3c736e4489d52943459521d8d3f;d103f4a680d8ac0c4ffe02e14c94af90
SRR34172919	PAIRED	73156437	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/019/SRR34172919/SRR34172919_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/019/SRR34172919/SRR34172919_2.fastq.gz	5006605114;5072583068	5d9607aedf10724ca2fcef39d673b3f8;ce01d2f785f098e582e7a33e52b8beaf
SRR24991731	PAIRED	13269559	ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/031/SRR24991731/SRR24991731_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/031/SRR24991731/SRR24991731_2.fastq.gz	342723503;342303160	4d993e632d14c6f4874aa87d603f40bb;ec32caea902315bc34041118615cfead
SRR24991729	PAIRED	18475581	ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/029/SRR24991729/SRR24991729_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/029/SRR24991729/SRR24991729_2.fastq.gz	474794953;473687731	0ba3e9b792e1d6121a5c910427701817;1532c9a6e1cf295377d7e23eabf39177
SRR24991727	PAIRED	15826071	ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/027/SRR24991727/SRR24991727_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/027/SRR24991727/SRR24991727_2.fastq.gz	820554057;831021503	34d2040dfe8ecba7f4371205b59338a7;f3660f5f72d52dddf5f3b189186dc953
SRR24991732	PAIRED	33613420	ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/032/SRR24991732/SRR24991732_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/032/SRR24991732/SRR24991732_2.fastq.gz	858342422;844735275	e149b436e739b49f41c8392e57aa8612;302b0f5400acc7e9020dad0bc48ff67f
SRR24991723	PAIRED	17368328	ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/023/SRR24991723/SRR24991723_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/023/SRR24991723/SRR24991723_2.fastq.gz	877186894;891332251	41fcdc8f236a4dceead274a6ccb3b82e;822a6d05f3ce829034e9410773454fb9
SRR24991730	PAIRED	38514943	ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/030/SRR24991730/SRR24991730_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/030/SRR24991730/SRR24991730_2.fastq.gz	979334392;964714251	f195896c9e664df2661efb67541eb931;da4b0575625e8035052dccd4ce871c2c
SRR24991726	PAIRED	20299812	ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/026/SRR24991726/SRR24991726_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/026/SRR24991726/SRR24991726_2.fastq.gz	994771595;1014228606	9e6d0bd32170c8eef3e5674f5fce519f;ed575bdc3a78eaf9ec45987b4c7cbafa
SRR24991728	PAIRED	22338440	ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/028/SRR24991728/SRR24991728_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/028/SRR24991728/SRR24991728_2.fastq.gz	1107154505;1129709397	59225dcb0c691153eb98391f746ca554;ca39743bae7912abc181372607ff8969
SRR24991725	PAIRED	23004703	ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/025/SRR24991725/SRR24991725_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/025/SRR24991725/SRR24991725_2.fastq.gz	1174394612;1188482361	57f64b4432817a657d570c8713a64e94;a6c3894d7c0e7aee64b975450186a32f
SRR26923904	PAIRED	13746217	ftp.sra.ebi.ac.uk/vol1/fastq/SRR269/004/SRR26923904/SRR26923904_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR269/004/SRR26923904/SRR26923904_2.fastq.gz	1233575284;1378023934	6049d998085a11bef2571b021de62993;bcd6c31f2abb92181edc7100802b5f75
SRR24991724	PAIRED	30344547	ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/024/SRR24991724/SRR24991724_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/024/SRR24991724/SRR24991724_2.fastq.gz	1498446732;1522295476	c75052ce3ed5156f8274e4897454c022;221841090a1f66e5377d9c3b11eaded8
SRR26923900	PAIRED	23211778	ftp.sra.ebi.ac.uk/vol1/fastq/SRR269/000/SRR26923900/SRR26923900_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR269/000/SRR26923900/SRR26923900_2.fastq.gz	1910151875;2096615541	a1a1d604cafe8269a18c47565486c935;218d04adb237ba73418556d9be46eb24
SRR26923899	PAIRED	28936848	ftp.sra.ebi.ac.uk/vol1/fastq/SRR269/099/SRR26923899/SRR26923899_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR269/099/SRR26923899/SRR26923899_2.fastq.gz	2433363808;2712386810	b21f36c4bdc4d01f904ff17f65ff9b79;4f9ada18becd6238ff2dd12d9941d9df
SRR26923893	PAIRED	29450592	ftp.sra.ebi.ac.uk/vol1/fastq/SRR269/093/SRR26923893/SRR26923893_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR269/093/SRR26923893/SRR26923893_2.fastq.gz	2487776533;2764696195	c20c4802e0843aa0667889bf36bff3cc;dc5f362747340948d7d515dfc2650815
SRR26923892	PAIRED	31890520	ftp.sra.ebi.ac.uk/vol1/fastq/SRR269/092/SRR26923892/SRR26923892_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR269/092/SRR26923892/SRR26923892_2.fastq.gz	2672474546;2972105649	0664ea8f137302017eaa3938159d8472;54b3ca7a6e9ef5d1b2099fc086221b4b
SRR26923901	PAIRED	31087733	ftp.sra.ebi.ac.uk/vol1/fastq/SRR269/001/SRR26923901/SRR26923901_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR269/001/SRR26923901/SRR26923901_2.fastq.gz	2730947868;2959322069	46a4e9b4d47a6fe34b9599f00377957f;4e0df5d0acfbb70f617119bbc93d3e78
SRR26923891	PAIRED	34203229	ftp.sra.ebi.ac.uk/vol1/fastq/SRR269/091/SRR26923891/SRR26923891_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR269/091/SRR26923891/SRR26923891_2.fastq.gz	2895853524;3196436560	d1ca149325f25775b1b2d3278156088c;c4914cfb4540efe11070bbcc14e730a8
SRR26923902	PAIRED	34750251	ftp.sra.ebi.ac.uk/vol1/fastq/SRR269/002/SRR26923902/SRR26923902_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR269/002/SRR26923902/SRR26923902_2.fastq.gz	3026987914;3274676547	790f846c82d9a89f3e2535a8d4de5e37;bc7f0387f139cd8bc2ea9018263a9278
SRR26923903	PAIRED	34953113	ftp.sra.ebi.ac.uk/vol1/fastq/SRR269/003/SRR26923903/SRR26923903_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR269/003/SRR26923903/SRR26923903_2.fastq.gz	3048622543;3315502514	0db6dbf9071b45e1147dba8f522e4a6c;df4d3738b639e2a0dad60df63d13d3fc
SRR26923894	PAIRED	48964802	ftp.sra.ebi.ac.uk/vol1/fastq/SRR269/094/SRR26923894/SRR26923894_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR269/094/SRR26923894/SRR26923894_2.fastq.gz	4087346968;4535292716	404e1778d4fa1f1631781d42c3e89446;0fcf8f267a0ba2ab116bf28c9b1e6bea
