gse	run	layout	fastq_ftp	fastq_bytes	fastq_md5
GSE280522	SRR30827782	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/082/SRR30827782/SRR30827782_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/082/SRR30827782/SRR30827782_2.fastq.gz	846802438;832640607	d0e43ee76f5db6d43dfb419676da6fbe;54a7dceef6374d2662ab179acb38bd84
GSE280522	SRR30827779	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/079/SRR30827779/SRR30827779_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/079/SRR30827779/SRR30827779_2.fastq.gz	950220323;909642182	79086724bcdccbefbccebe3914b470ba;e554e8eef8b7fcb3cbcb3ce4fc577515
GSE300734	SRR34172938	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/038/SRR34172938/SRR34172938_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/038/SRR34172938/SRR34172938_2.fastq.gz	4023692404;3850889087	c497d3c736e4489d52943459521d8d3f;d103f4a680d8ac0c4ffe02e14c94af90
GSE300734	SRR34172920	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/020/SRR34172920/SRR34172920_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/020/SRR34172920/SRR34172920_2.fastq.gz	1912756055;1981429175	158003e6ed897e866216b480a4042e1c;6abd4265fe4b26163e9552d60ea8e84b
GSE300734	SRR34172933	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/033/SRR34172933/SRR34172933_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/033/SRR34172933/SRR34172933_2.fastq.gz	1977485820;1900383739	4697c4a8113efc3eba70050ed3da1b5c;c263d843c7b3297139892480e8f041c0
GSE300734	SRR34172935	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/035/SRR34172935/SRR34172935_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/035/SRR34172935/SRR34172935_2.fastq.gz	1942390689;2064756842	8c174f6580589a58f53335800d465af8;35589bdbb7a459f4086d60e417530fbe
GSE235547	SRR24991732	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/032/SRR24991732/SRR24991732_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/032/SRR24991732/SRR24991732_2.fastq.gz	858342422;844735275	e149b436e739b49f41c8392e57aa8612;302b0f5400acc7e9020dad0bc48ff67f
GSE235547	SRR24991729	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/029/SRR24991729/SRR24991729_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/029/SRR24991729/SRR24991729_2.fastq.gz	474794953;473687731	0ba3e9b792e1d6121a5c910427701817;1532c9a6e1cf295377d7e23eabf39177
GSE235547	SRR24991724	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/024/SRR24991724/SRR24991724_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/024/SRR24991724/SRR24991724_2.fastq.gz	1498446732;1522295476	c75052ce3ed5156f8274e4897454c022;221841090a1f66e5377d9c3b11eaded8
GSE248499	SRR26923903	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR269/003/SRR26923903/SRR26923903_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR269/003/SRR26923903/SRR26923903_2.fastq.gz	3048622543;3315502514	0db6dbf9071b45e1147dba8f522e4a6c;df4d3738b639e2a0dad60df63d13d3fc
GSE248499	SRR26923894	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR269/094/SRR26923894/SRR26923894_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR269/094/SRR26923894/SRR26923894_2.fastq.gz	4087346968;4535292716	404e1778d4fa1f1631781d42c3e89446;0fcf8f267a0ba2ab116bf28c9b1e6bea
GSE248499	SRR26923891	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR269/091/SRR26923891/SRR26923891_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR269/091/SRR26923891/SRR26923891_2.fastq.gz	2895853524;3196436560	d1ca149325f25775b1b2d3278156088c;c4914cfb4540efe11070bbcc14e730a8
GSE162345	SRR16201699	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/099/SRR16201699/SRR16201699_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/099/SRR16201699/SRR16201699_2.fastq.gz	646289776;440300037	30a3ba580e5fb51ad4726bd00f536443;3678def82b7bac36122f83bbe633c240
GSE162345	SRR16201706	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/006/SRR16201706/SRR16201706_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/006/SRR16201706/SRR16201706_2.fastq.gz	536801686;358887103	f15d68c3ce686e16bf1c61caa8cf1847;eebaa0e9bf6a50c1ca6361f8804b5569
GSE162345	SRR16201698	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/098/SRR16201698/SRR16201698_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/098/SRR16201698/SRR16201698_2.fastq.gz	495091751;324731278	93f21ca69883c507379493e653981226;8540525f50708d61ddfc297374cd2fdb
GSE162345	SRR16201704	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/004/SRR16201704/SRR16201704_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/004/SRR16201704/SRR16201704_2.fastq.gz	450267263;301910501	1d59bc7c7c93e8c62eb4c7d7bf62456c;fbf63a90d158b03bf8adaeaf78178ab9
