gse	run	layout	fastq_ftp
GSE280522	SRR30827771	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/071/SRR30827771/SRR30827771_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/071/SRR30827771/SRR30827771_2.fastq.gz
GSE280522	SRR30827752	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/052/SRR30827752/SRR30827752_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/052/SRR30827752/SRR30827752_2.fastq.gz
GSE280522	SRR30827786	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/086/SRR30827786/SRR30827786_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/086/SRR30827786/SRR30827786_2.fastq.gz
GSE221985	SRR22944194	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR229/094/SRR22944194/SRR22944194_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR229/094/SRR22944194/SRR22944194_2.fastq.gz
GSE300734	SRR34172921	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/021/SRR34172921/SRR34172921_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/021/SRR34172921/SRR34172921_2.fastq.gz
GSE300734	SRR34172920	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/020/SRR34172920/SRR34172920_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/020/SRR34172920/SRR34172920_2.fastq.gz
GSE300734	SRR34172937	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/037/SRR34172937/SRR34172937_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/037/SRR34172937/SRR34172937_2.fastq.gz
GSE300734	SRR34172932	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/032/SRR34172932/SRR34172932_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/032/SRR34172932/SRR34172932_2.fastq.gz
GSE235547	SRR24991731	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/031/SRR24991731/SRR24991731_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/031/SRR24991731/SRR24991731_2.fastq.gz
GSE235547	SRR24991732	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/032/SRR24991732/SRR24991732_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/032/SRR24991732/SRR24991732_2.fastq.gz
GSE235547	SRR24991726	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/026/SRR24991726/SRR24991726_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/026/SRR24991726/SRR24991726_2.fastq.gz
GSE248499	SRR26923904	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR269/004/SRR26923904/SRR26923904_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR269/004/SRR26923904/SRR26923904_2.fastq.gz
GSE248499	SRR26923899	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR269/099/SRR26923899/SRR26923899_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR269/099/SRR26923899/SRR26923899_2.fastq.gz
GSE248499	SRR26923901	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR269/001/SRR26923901/SRR26923901_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR269/001/SRR26923901/SRR26923901_2.fastq.gz
GSE248499	SRR26923903	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR269/003/SRR26923903/SRR26923903_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR269/003/SRR26923903/SRR26923903_2.fastq.gz
