	coef	c_control	c_perturbed	delta	symbol	label	log2FC_control_L2C_vs_E2C
17381	0.000303569425977304	-0.0003733991240222847	-0.00024248725343739924	0.00013091187058488545	Mmp12	maternal	-2.952662369535625
56533	0.0006751355142739268	-0.0003715142065685253	-8.311721062587908e-05	0.0002883969959426462	Rgs17	neither	-1.3329306098528468
108797	-0.0022280513149601664	-0.0003708008760294335	-0.0015319114841952793	-0.0011611106081658457	Mex3b	neither	0.4542462812937772
72472	-0.0026769542774594183	-0.00036475590385423015	-9.938739826677187e-05	0.0002653685055874583	Slc16a10	neither	0.5001631829726062
15186	0.0012767381345365422	-0.0003644812353601692	0.0006383813299897771	0.0010028625653499463	Hdc	neither	-0.33201007007664035
57344	0.004651291917893456	-0.00036286487501652567	0.002218231007281823	0.0025810958822983484	As3mt	neither	-0.16289815439681907
66972	-0.001343029051175323	-0.0003622752979197812	-0.0006945113557264857	-0.0003322360578067045	Slc25a23	neither	0.8916887809302418
74470	0.003271565711985909	-0.00036092148594634105	-0.00013191195205542356	0.0002290095338909175	Cep72	neither	-0.19950018496941282
22352	0.006451966979607658	-0.0003569325035143752	0.008049260316761285	0.00840619282027566	Vim	neither	-0.11736604778996466
64945	0.00528552103361825	-0.00035500060881767364	0.0008736800289216519	0.0012286806377393255	Cldn12	neither	-0.17277582004188163
338403	0.0013368536961442855	-0.00035296840873166044	0.0001565209252967633	0.0005094893340284237	Cndp1	neither	-0.572504857539904
77782	-0.00030351512279033397	-0.00035049621064121253	-7.760778690356008e-05	0.00027288842373765244	Polq	neither	3.2078042759818612
108899	-0.0007634332110802759	-0.0003502539001692628	-0.0008686124878947773	-0.0005183585877255145	2700081O15Rik	neither	0.5575112516770443
236930	-0.0013599569968207569	-0.00034831939094321046	0.00016203470514295588	0.0005103540960861663	Ercc6l	neither	0.8333333368694906
14823	0.0008291661961882035	-0.00034199903124197093	-0.0003683175394663313	-2.6318508224360384e-05	Grm8	neither	-0.9784951851799314
14623	0.0006618851137078349	-0.0003419507130862313	0.00021623801494100451	0.0005581887280272358	Gjb6	neither	-0.43410655107767687
20509	-0.0006291634706259053	-0.00034025143431431267	-0.00010681183457973475	0.00023343959973457792	Slc19a1	neither	0.7864593494736181
64340	-0.0035880001080771822	-0.00033649735207296616	0.0007702284141166275	0.0011067257661895936	Dhx38	neither	0.3098603371260519
13139	-0.006576036378425141	-0.0003260394346926687	-0.0036750979734437644	-0.0033490585387510956	Dgka	neither	0.34957457587613194
11496	0.0033738056804938797	-0.0003223449138564127	-0.0005709327847648201	-0.0002485878709084074	Adam22	neither	-0.22538339182106704
11600	0.0005205492579753231	-0.0003211002031977412	-9.833331734024891e-05	0.0002227668858574923	Angpt1	neither	-1.1001558662649384
75906	0.0021176019018658274	-0.00031707143656002813	-0.00019166481455440423	0.0001254066220056239	Fam184a	neither	-0.27553727761156843
20430	-0.0008353777118703102	-0.0003168459241736795	-2.5501997749894104e-05	0.0002913439264237854	Cyfip1	neither	1.1619428173277522
