	control	A485	A485+Dux	symbol
18113	-0.0	-0.0	-0.0	Nnmt
76179	0.0006261004589464239	0.0010251979341042584	0.000755080186559352	Usp31
214804	0.0002274293764746949	0.0003705026930376733	0.000612423196108476	Syde2
68611	-0.006947590717697441	0.0011968733342071212	-0.006297428069421803	Mrpl28
12630	-5.345404401434333e-05	0.00018029484251797523	0.0008808565187225894	Cfi
78376	0.0020335484238680973	0.00026829349986434524	0.0008630048836954599	Sapcd1
15559	-0.0	-0.0	-0.0	Htr2b
269016	7.607912200400366e-05	4.305172072749327e-05	4.888299317638707e-05	Sh3rf2
15904	0.0006161437881522769	0.0032762601591416617	0.002451032884569465	Id4
434341	0.0	0.0	0.0	Nlrc5
625249	0.0016681280715367646	0.00042376706548939675	0.002220375361243514	Gpx4
320051	8.654415930282613e-05	0.00022910476238352826	7.428083562412485e-05	Exph5
64660	-0.011103781169137544	-0.003611621294027439	-0.004052696182304033	Mrps24
20393	-0.0015834569129705267	-0.00195488321522939	0.0008602114979610228	Sgk1
50773	-0.0	-0.0	-0.0	Nt5c
72585	-0.0001792681477691925	-0.0004079604608106166	0.00012547338063690155	Lypd1
227656	-0.011542513747868922	-0.00624963760767566	-0.011994144855693355	Rexo4
12850	-0.00013881678247853633	-0.0019692022388464042	-0.0015095677466850771	Coq7
11941	-3.68263159813694e-05	8.911735269401606e-06	-0.00024179726372789326	Atp2b2
72748	-0.00029976293871914833	0.0004942303730140939	0.0009020818996983965	Hdhd3
71145	3.321408450861784e-05	0.0002745117332041518	0.00019175860213909595	Scara5
19268	1.84776822267359e-05	0.0012296404102405296	0.0010285684648812712	Ptprf
228730	-9.022644773341046e-05	-0.0005347354300187099	-0.0011463527621177441	Kiz
319901	-7.467049336772444e-05	6.774563212708551e-05	4.3210506382051364e-05	Dsel
64945	-0.00035500060881767364	0.0008736800289216519	0.0008379448840095941	Cldn12
108089	0.00021411580854056235	0.0002698629460821463	0.0019349984342889163	Rnf144a
21823	-0.001805813074737573	0.0002570072336940255	-0.0008706326527013977	Th
239273	0.0009855739493383625	0.00035588406987334766	0.0012246441772980727	Abcc4
106347	0.00022463054326331793	0.00013583339199764013	0.00019234751846529692	Ildr1
210719	0.0	0.0	0.0	Mkx
74100	5.789125927987885e-05	-0.0015494925440848436	0.00016478990447638334	Arpp21
236930	-0.00034831939094321046	0.00016203470514295588	-0.0003060144791011477	Ercc6l
83771	-0.0014571877217824485	0.0004082394748466029	-0.0017317975995313603	Tas1r3
69574	-0.0002489363101557578	0.00027605718421110055	-0.001745843893677024	Cmbl
14012	-0.0008589576403911012	-0.0010008150610498136	-0.001424710408495651	Mpzl2
16590	0.00042945699597956194	0.00029098643087563484	0.000292088351428681	Kit
70779	2.396050197695946e-05	-0.0009226590525563207	0.0006812285303054203	Prdm5
14696	0.0033320560849446983	0.0018810945856684858	0.0029926289740227446	Gnb4
16008	0.007004613564662837	0.00701521946158812	0.012048294026882334	Igfbp2
19057	-0.0010314862946425956	-0.00010510405517693106	-0.0009374040118607185	Ppp3cc
84095	-0.018194346641762973	-0.0032162273373832206	-0.012024784602042881	Pi4k2a
116847	0.004234016462739145	0.0030519959449898226	0.003698723930379997	Prelp
77505	-0.0006591985936089977	0.0014140396380742752	0.0009543804020924421	Dnhd1
14160	-4.380838920969858e-05	0.0003339665855014024	8.116481534403678e-05	Lgr5
18039	0.00019308160540981929	0.0005160827772065881	0.0007664633801476626	Nefl
16598	0.001478603846357808	0.0011513372919826274	0.0013572739009800267	Klf2
108098	0.0006477444116199911	0.0019027227888629649	0.0006684959419498164	Med21
56523	0.002196228139532328	0.0009829791063736741	0.0013243584743302741	Pmfbp1
235028	0.0011046556369766712	0.0006780729814289252	0.0026582122906632735	Zfp426
23923	0.00552184193408143	0.006690348941504135	0.0055178322356740335	Aadat
19734	-0.0005513498428761623	0.0006364515601176118	-0.00048519290784559857	Rgs16
18230	0.001649494027454093	0.0011420424463813102	0.0015447762307202785	Nxn
56017	0.0025611227343204966	0.003993718328304378	0.0050411902896232074	Slc2a8
16601	-0.03269706734033864	-0.017290242005618083	-0.02830461492442205	Klf9
16467	0.0014644684124617226	0.0012709040263517875	0.002644044103202618	Atcay
11670	-0.0	-0.0	-0.0	Aldh3a1
208164	0.0	0.0	0.0	Fam180a
29856	0.007219611326544713	0.0011256028112530741	0.009849614437207667	Smtn
668940	0.0	0.0	0.0	Myh7b
54123	0.0014773670945223785	0.0018892479055054175	0.002376024855169867	Irf7
194655	-0.0019786377736664192	-0.0031229299337817797	-0.002948761678654983	Klf11
71766	3.596398334950411e-05	-0.0017422981869478337	0.00012636707372106737	Raver1
320472	-0.00031566360663493303	0.0004144323450799384	0.000509834029370301	Ppm1e
73407	0.00048637942181480043	-0.0007041616181556976	-0.0005965530629725146	Tepp
242819	9.534526380513819e-05	-0.00020608904034974095	7.760749396752677e-05	Rundc3b
236285	0.0	0.0	0.0	Lancl3
74666	0.0004246101628666062	-0.0004568895016665965	0.00023259169960682737	4930432K21Rik
12483	0.0009745352181194569	0.001924553492261978	-0.0009305900467697374	Cd22
320633	0.0001400421589590771	-0.0003788320118916385	0.00023163891491918313	Zbtb26
14276	0.0004592293732618511	-0.00010405615252724594	0.0002747460399898805	Folr2
328365	-8.775437138158994e-05	-0.00031528346261519937	-0.00011815993313900943	Zmiz1
77065	-0.003015038094162205	-0.0015470209842293981	-0.0017369644001841936	Ints7
654812	-0.0	-0.0	-0.0	Angptl7
14173	0.0	0.0	0.0	Fgf2
328381	0.0005171035370730554	0.0006015813951165114	0.0010507328113781198	Sh2d4b
108897	-0.0030070007413804407	-0.0001390980465578843	-0.0019248398904973308	Aif1l
20198	0.0	0.0	0.0	S100a4
68777	0.00018933029503150355	-0.00015369132722328792	-1.2851254597258523e-05	Tmem53
72404	-0.0013734452396837104	-0.0015943773506006894	-0.0018460623036413144	Wdr44
18616	0.0011862192658677875	-0.001956461477234927	-0.0012612667255727785	Peg3
22171	-0.0004440684828289617	-0.0001922600625203767	-0.00045717145143280875	Tyms
20339	-0.0	-0.0	-0.0	Sele
218763	-0.0018124637220375557	0.0020054690407610757	-0.0004087587761591799	Lrrc3b
75345	0.00044834602046236045	-0.0017327360686431841	-0.0008279621383508572	Slamf7
19246	0.0003388778249683118	8.641763791534216e-05	0.0002658973869693013	Ptpn1
224938	-0.002236218862575776	-0.0012082361817294135	-0.0023416111310335204	Pja2
15507	-0.002857441694793408	-0.008346059621250053	-0.01261441795610216	Hspb1
26874	-0.0006982354469314922	0.0024372803130640244	-0.0027094073383849148	Abcd2
381157	-0.0017567514221227018	0.005711354203361781	-0.0024025722121337684	Greb1l
244954	-0.0009155402696662796	0.0014296096043423354	0.0019036630006204942	Prss35
12029	0.0	0.0	0.0	Bcl6b
17345	-0.00018799575917051518	0.0002603819332660907	-0.0001415784209435874	Mki67
