	species	stage	log10_total_counts	log10_detected	EN_Chronoage_Multispecies_Multitissue_scaleddiff	EN_Chronoage_Multispecies_Multitissue_yugenediff	EN_Mortality_Multispecies_Multitissue_scaleddiff	EN_Chronoage_Mouse_Multitissue_scaleddiff
Early-2-cell_12	Mouse	Early-2-cell	5.774007191788585	4.162444914299978	0.12561640660877385	-0.018079960464777778	0.3689161755147412	0.14739441675076403
Early-2-cell_3	Mouse	Early-2-cell	6.2849761358321	4.259498314030925	0.08275817636152061	-0.0735366708631372	0.16527061844050248	0.07203699432437091
Early-2-cell_4	Mouse	Early-2-cell	6.42697507434039	4.267242148825605	0.10391490336815687	-0.03023937981849989	0.08132859513258021	0.06982621004953214
Early-2-cell_6	Mouse	Early-2-cell	6.170708691241747	4.217299658976496	0.05846870381175952	-0.06444358009942183	0.2754861854530985	0.04776663659472458
Early-2-cell_7	Mouse	Early-2-cell	6.289151316420094	4.251954398227403	0.118597458901336	-0.028941879815891698	0.1037395540984064	0.04795333296416878
Early-2-cell_9	Mouse	Early-2-cell	6.495359202615895	4.284250210312084	0.12299185310812444	-0.06760219189823571	0.4828806472713574	0.08520414565308226
Late-2-cell_1	Mouse	Late-2-cell	6.001056654874168	4.224040738627695	-0.09833215829423722	-0.25716760317283893	-0.31590900763607477	0.006499641651308111
Late-2-cell_10	Mouse	Late-2-cell	6.066386312327563	4.1897148423236805	-0.1352337622385338	-0.20498782400494944	-0.05427685684133751	-0.10077410083171967
Late-2-cell_2	Mouse	Late-2-cell	5.917940111651405	4.193681029541281	-0.12553875937981188	-0.2872988725576923	-0.14291285593791625	0.05161171829184007
Late-2-cell_3	Mouse	Late-2-cell	6.141891368977103	4.249760740887979	-0.03437851708768538	-0.1918546346069337	0.3478263521440621	-0.0073805020039538725
Late-2-cell_4	Mouse	Late-2-cell	6.084857138096166	4.241621180791424	-0.20298103245960963	-0.22110853079760892	0.19152640738126012	0.03572757687887929
Late-2-cell_5	Mouse	Late-2-cell	6.083185024431855	4.22385921533063	-0.089689489187359	-0.11183117200770279	-0.17259791638141947	-0.017849126580546652
Late-2-cell_6	Mouse	Late-2-cell	6.034363708948805	4.226032503344959	0.019297946999143896	-0.2369137658513635	0.251195425461097	0.047330858277833045
Late-2-cell_7	Mouse	Late-2-cell	6.118785699173079	4.2430132311496775	0.05795154322466717	-0.1707069610803271	0.2589613458278518	0.11625549305488492
Late-2-cell_8	Mouse	Late-2-cell	5.912912020448067	4.208575708947575	0.009470135447048673	-0.21460175892212532	-0.29147110588877156	-0.08777170882716516
Late-2-cell_9	Mouse	Late-2-cell	6.206900050431747	4.259283216189964	-0.15066772309960816	-0.2786263299073841	-0.1792971319849087	-0.033072845500417586
Oocyte_1	Mouse	Oocyte	6.305534293592832	4.2578944687308	-0.09015852359737905	-0.10582246016557148	-0.22137463103668464	-0.04009198022275619
Oocyte_10	Mouse	Oocyte	6.5913851984401	4.282984440133955	0.0705715266343756	0.037902690622352526	0.29508421225824577	0.022238301332208363
Oocyte_11	Mouse	Oocyte	6.213905394311555	4.222586423390389	-0.01970999226063227	0.016234357586968978	-0.25568645841823395	0.051829571958808426
Oocyte_12	Mouse	Oocyte	6.1994468942527154	4.225541877187231	0.06692190434686163	0.005363602689403765	0.31269517665596697	0.028441542260446838
Oocyte_2	Mouse	Oocyte	6.539435811712525	4.3037790465955315	0.015017919901150714	-0.07251988410837332	0.09303111050337509	0.013016017670264118
Oocyte_3	Mouse	Oocyte	6.409445155181617	4.268882058732568	0.025088505470995677	0.003705475432974642	0.022633059995445542	-0.008054538768356894
Oocyte_4	Mouse	Oocyte	6.564147796840342	4.26609051627518	-0.019320314072254395	0.0037681791818680067	-0.2035721116304633	-0.05669281177312335
Oocyte_5	Mouse	Oocyte	6.508435039187742	4.269489594424535	-0.062045024398377814	0.0015332344377748004	0.06327492084250816	-0.04325856965148007
Oocyte_6	Mouse	Oocyte	6.30507673111571	4.246030551190584	0.06845547418664619	-0.005140648350125919	0.09273817776621598	0.007091004356195214
Oocyte_7	Mouse	Oocyte	6.421241040706835	4.258182160366098	0.013273789379160343	0.011402862547850813	0.07459730739122794	0.0026603368964018114
Oocyte_8	Mouse	Oocyte	6.4684455525797855	4.273510545540457	0.020163346865743635	-0.01916813560195669	0.09006387943302477	0.040990002920707896
Zygote_1	Mouse	Zygote	6.231859108342008	4.203984244420126	0.06260954392784907	-0.014373762421369993	0.2622805873737361	0.14275938261337207
Zygote_10	Mouse	Zygote	6.288791642987569	4.193931191174947	0.21896412252781086	0.025733814935963224	0.4843287650950891	0.13288288018868458
Zygote_11	Mouse	Zygote	6.234377557918082	4.179551791165188	0.10782397250032447	0.04772741762199106	0.47386619071826813	0.18334898877505498
Zygote_12	Mouse	Zygote	6.276525450076284	4.206987694756409	0.09507378257729551	-0.011679687367809145	0.23694392170849898	0.0992472228152742
Zygote_2	Mouse	Zygote	6.338856139495447	4.251029538523903	0.054330529255160166	0.006400515014702447	0.1064850622508654	0.048888228496050457
Zygote_3	Mouse	Zygote	6.38535312947081	4.246178404510863	0.1192161499446554	0.032277097088070465	0.48918257737370946	0.07735591513480897
Zygote_4	Mouse	Zygote	5.8103541840801585	4.16025838620267	0.15494853623183003	0.06391318234410084	0.8744205937914769	0.15296424727978308
Zygote_5	Mouse	Zygote	6.343154442409166	4.206933761880598	0.22696755633093874	0.029133750286330185	0.5157358546613529	0.1426335133965501
Zygote_6	Mouse	Zygote	6.381607964420734	4.20828007854531	0.17934580616934107	-0.0020255582944408435	0.07941345416199397	0.12344237638655724
Zygote_7	Mouse	Zygote	6.060521065409548	4.19835462473694	0.08990112800560546	-0.02783058477463419	0.14293343132009406	0.0497966741710215
Zygote_8	Mouse	Zygote	6.163619290297786	4.202379321079624	0.09134152897871432	0.028509043686707328	0.15619958984661308	0.06186715206439923
16-cell_1	Cow	16-cell	6.159949288455636	4.032054375479669	-0.16683587028691316	-0.11302104460052101	-0.30275421166200056	
16-cell_10	Cow	16-cell	6.336876816454865	4.039770926931579	-0.3319257963567437	-0.3328318020239202	-0.9566155180033102	
16-cell_11	Cow	16-cell	6.366028083467863	4.017534159437198	-0.24566857175917065	-0.15431372871104368	-0.6015699895998676	
16-cell_12	Cow	16-cell	6.450420790106961	4.026410680578774	-0.19921972693051565	-0.18571955250127328	-0.7800704468249502	
