	coef	c_control	c_perturbed	delta	symbol	label	log2FC_control_L2C_vs_E2C
12023	0.008190596264903918	-0.00625498320268584	-0.0060151315120144785	0.00023985169067136138	Barx2	neither	-0.9183831412520723
654812	-0.00536455197483453	-0.0061739958958192225	-0.00032903680135496627	0.005844959094464256	Angptl7	neither	1.2057925812519525
22403	0.011462516867536604	-0.0061572235461945955	-0.00460196721991707	0.0015552563262775255	Ccn5	neither	-1.4742026311271499
13602	0.014436315836207615	-0.006071649317280694	-0.005995692499923183	7.595681735751095e-05	Sparcl1	neither	-0.6198352190568629
74414	-0.025230929981288577	-0.0060599402187425854	-0.00423433211710093	0.0018256081016416554	Polr3c	neither	1.0637277471259345
212547	-0.007450619538041031	-0.006019853067244807	-0.005204312707373951	0.0008155403598708562	Nepro	neither	2.5559817357216934
16956	0.010040756273216538	-0.005962199881607821	-0.0033308082590910674	0.0026313916225167537	Lpl	neither	-1.4183005316580186
27276	0.028673396110681915	-0.005798138059002173	-0.007477680770045604	-0.0016795427110434307	Plekhb1	neither	-0.28484991140033905
67669	-0.013265841932150928	-0.005733122048612502	-0.005662255893753504	7.086615485899818e-05	Hikeshi	neither	1.4689536791158118
16570	-0.005132612975383385	-0.005663773184212645	-0.004261869033209798	0.0014019041510028463	Kif3c	neither	3.3058132774172995
67728	-0.005520948935407498	-0.005658652319958614	-0.004798307695172048	0.0008603446247865661	Dph2	neither	3.0154618736702696
20474	0.01416496432178908	-0.005646969927168088	0.00017147706355418794	0.005818446990722276	Six4	neither	-1.0446410369102963
72486	0.005655079337133768	-0.0056369007798790305	-0.0044698339396035845	0.001167066840275446	Obi1	neither	-2.5806249814498967
20500	-0.00490635730280101	-0.005622806902644671	-0.004242514514867114	0.0013802923877775566	Slc13a2	neither	2.216236734708018
16997	0.007685844360215609	-0.00558913588568315	-0.006476898004467767	-0.000887762118784617	Ltbp2	neither	-1.6180212600554336
22352	0.006451966979607658	-0.005584316826034428	-0.002138906911990316	0.003445409914044112	Vim	neither	-1.8583864651197468
75568	-0.005739730847164667	-0.00556881646768868	-0.0035793297702980966	0.0019894866973905836	Capsl	neither	1.116244449963743
94214	0.01412814765385308	-0.005514894637179423	0.002429146191779101	0.007944040828958525	Spock2	neither	-0.5166682735239421
333088	0.007708931117451913	-0.005425749514899659	-0.002122053498073432	0.003303696016826227	Kcp	neither	-1.123469284705118
241070	0.004268850182392995	-0.00538158358950654	-0.0038780291247759243	0.0015035544647306154	Gpr1	maternal	-3.0041411481633706
69215	-0.00657228819699247	-0.005265005777608948	-0.006782924666388689	-0.0015179188887797408	Sat2	neither	2.0285574239958577
20564	0.013189751056217638	-0.005255907685340147	-0.0059191402366679385	-0.0006632325513277913	Slit3	neither	-0.6157969735158063
68458	-0.007295165131602068	-0.005234980834882862	-0.005255997832404563	-2.1016997521701095e-05	Ppp1r14a	neither	1.4175574617994497
16450	0.015334475966643136	-0.005217312884817805	-0.00658868279878594	-0.0013713699139681354	Jag2	neither	-0.7245154017300078
66513	-0.005872714605833362	-0.005200005920088467	-0.004234375776501697	0.0009656301435867704	Tab1	neither	1.8815218418339663
68611	-0.008381155079475887	-0.005184790179538097	-0.0035592370426901234	0.0016255531368479736	Mrpl28	neither	1.8846192355187923
13685	-0.009087672940032893	-0.005139659019948504	-0.005930530703462224	-0.0007908716835137199	Eif4ebp1	neither	1.7659953934055632
108699	0.021583081330789535	-0.0051170910728526664	-0.0022728749267342005	0.002844216146118466	Chn1	neither	-0.4648898612949028
54353	0.020160064584108198	-0.004966088391946171	-0.002362144597930207	0.002603943794015964	Skap2	neither	-0.48987911875671997
16373	0.005390761170025202	-0.0049070444391158	-0.0013776673638860664	0.003529377075229734	Irx3	neither	-1.0509472219185467
15559	-0.006717526933770497	-0.004851586032921665	-0.004288359645495632	0.0005632263874260331	Htr2b	neither	0.875536165501422
59083	0.004651831173935489	-0.004813527584928405	-0.003306824676397771	0.001506702908530634	Fetub	neither	-2.43389889558711
50794	-0.010189663602943221	-0.004794298095345508	-0.0022692321905644886	0.0025250659047810196	Klf13	neither	1.587127037668506
30059	-0.0035929002790336655	-0.004791314206464798	-0.005691667753360881	-0.0009003535468960827	Timm10	zygotic	3.5765206602560227
13032	-0.0027221669701660988	-0.004785862944139446	-0.004294781821779088	0.0004910811223603588	Ctsc	neither	5.134997424027517
