species	interval	cell_number	d_zygotic	d_zygotic_lo	d_zygotic_hi	p_boot_max_zygotic	d_maternal	d_maternal_lo	d_maternal_hi	d_clock	d_clock_lo	d_clock_hi	literature_zga
Pig	Day2->Day3	8->16	0.006019031041968314	0.0042357222246483615	0.007544837551332013	0.656	-0.1338129711891929	-0.1644555190514428	-0.10211349729391415	-0.0621293072445448	-0.1322498500340969	0.0141067032457896	False
Pig	Day3->Morula	16->morula	0.005370305311365674	0.003640298635862894	0.007269682890798754	0.344	0.0005073974393899616	-0.022961890298937353	0.022412717771003305	-0.1356553336357566	-0.2180191296497777	-0.0535267519279819	False
Cow	Oocyte->Zygote	fertilisation	-1.6349490381688692e-06	-6.369296628456792e-06	3.1051462147310977e-06	0.0	-0.009163293472252865	-0.02147435032421923	0.002090986530425353	0.0126033953866699	-0.0346905350640956	0.0653659620073417	False
Cow	Zygote->2-cell	1->2	2.8753934367942746e-06	-3.0383941045307333e-06	8.589167643485586e-06	0.0	0.0008076961757549905	-0.01065706612708041	0.013878193599102384	0.0270382105009598	-0.0218971636951058	0.0750110195338293	False
Cow	2-cell->4-cell	2->4	1.82398199474345e-05	8.216011482803793e-06	3.096319215943831e-05	0.0	-0.01388236139788801	-0.02310857964776133	-0.0058892305192597885	0.0490773639523662	0.0023784610371779	0.0976508819438209	False
Cow	4-cell->8-cell	4->8	0.0001716983579053513	5.045166928851294e-05	0.00033549421476875365	0.0	0.007975169433129647	-0.002482069657301099	0.018142041842692504	-0.0351167227806711	-0.0769808414830373	0.003579351156551	False
Cow	8-cell->16-cell	8->16	0.017897761342957764	0.01554629365879694	0.020319619182365314	1.0	-0.2751633153196126	-0.2940668035320997	-0.2535658009846583	-0.3139086126413045	-0.3762353243191	-0.2493461569237215	True
Cow	16-cell->Morula	16->morula	-0.009674913346592422	-0.012188307631254414	-0.007124285625884447	0.0	-0.0033401262038619817	-0.024981416632935242	0.015401971039303715	-0.3886977429261966	-0.468109163216747	-0.3078584280908204	False
Rabbit	Oocyte->Zygote	fertilisation	8.219936158956318e-06	4.47057244793418e-06	1.210118029558757e-05	0.0	0.006371633196848359	-0.0056788263791464925	0.018406153763736853	0.1291810244162632	0.0819323972356604	0.1775871131038343	False
Rabbit	Zygote->2-cell	1->2	2.3778105318259646e-05	1.2298690974831482e-05	3.7415629904869726e-05	0.0	-0.04048879155653928	-0.050989220040364186	-0.028417632051806835	-0.0002757623839402	-0.0443469221260549	0.044871049353288	False
Rabbit	2-cell->4-cell	2->4	-4.467682980488936e-06	-2.167647449802027e-05	1.1576016335490371e-05	0.0	-0.0015751530814875347	-0.01213597610666415	0.00830455402007945	-0.0007845039241041	-0.0505087497981418	0.0468307414233194	False
Rabbit	4-cell->8-cell	4->8	0.0017048012002114745	0.0012078609430951005	0.002296500527585015	0.0	-0.1928547259675856	-0.2137646316922952	-0.17016257817761196	-0.1283476406853748	-0.1830158709944462	-0.0777499197414716	False
Rabbit	8-cell->16-cell	8->16	0.0006261377859223332	-4.558091502374544e-06	0.001166027541488954	0.0	-0.0403666495887033	-0.06305497263317499	-0.020163533837210097	0.0152000456111114	-0.0448466487133857	0.0763468862950565	True
Rabbit	16-cell->Morula	16->morula	0.005241233154520787	0.0034746166365299427	0.007143514486502658	1.0	0.027936864137418624	0.015357600584843423	0.039337635507388204	-0.035942060671518	-0.0977475750362428	0.027755633667584	False
