Unnamed: 0	species	stage	log10_total_counts	log10_detected	EN_Chronoage_Multispecies_Multitissue_scaleddiff	EN_Chronoage_Multispecies_Multitissue_yugenediff	EN_Mortality_Multispecies_Multitissue_scaleddiff	EN_Chronoage_Mouse_Multitissue_scaleddiff
4-cell_8	Cow	4-cell	6.243739302108769	4.05315530296188	0.0608248355395141	-0.0963854424625533	0.1341435128222694	
4-cell_9	Cow	4-cell	6.264663904432025	4.05361617440439	0.1429386520694472	0.0033192882839727	-0.0483098862703178	
8-cell_1	Cow	8-cell	6.180958955457194	4.046456142412592	0.0627218416702988	-0.0026265062877576	0.1797098135174492	
8-cell_10	Cow	8-cell	6.45754340860144	4.074816440645175	0.0912930050437663	-0.0251261601937717	-0.0316286346495967	
8-cell_11	Cow	8-cell	6.565052733664616	4.0707026597194735	0.087621786871559	-0.0192613028092837	0.3650931396320456	
8-cell_12	Cow	8-cell	6.366107535577134	4.041787318971752	0.1173582197497267	0.0305460963988055	-0.0958868061185735	
8-cell_2	Cow	8-cell	6.360156059175927	4.056790548274383	0.0575799718992365	-0.0967417760045184	0.2040224977053732	
8-cell_3	Cow	8-cell	6.27520121178978	4.05307844348342	0.0902637711763781	-0.0414261886021742	0.1807116390185882	
8-cell_4	Cow	8-cell	6.184751035773692	4.058843414668761	0.1314196455260403	-0.0472682585062301	0.0864402655580082	
8-cell_5	Cow	8-cell	6.150710706089971	4.017534159437198	0.0201095378458106	-0.158709327028731	0.1488962198732035	
8-cell_6	Cow	8-cell	6.196711880616243	4.063821056343712	0.0849848700732301	-0.0775566566381826	-0.0214251512725503	
8-cell_7	Cow	8-cell	6.383970033412536	4.062732363205394	0.1330919045711285	-0.0420523899694717	0.3182614844959006	
8-cell_8	Cow	8-cell	6.541158973068405	4.066921972093997	0.1022416864316323	-0.0982408080173248	0.2334072077256847	
8-cell_9	Cow	8-cell	6.534203216370815	4.055607651708711	0.0855971863871783	0.0115346488215711	0.175041156561821	
Morula_1	Cow	Morula	6.136171804942558	4.0	-0.6353539333359534	-0.5916618478807426	-1.6158600646728478	
Morula_10	Cow	Morula	6.3335907392765485	4.0080463061583504	-0.5894111497966181	-0.6253702301979723	-1.9376685949246628	
Morula_11	Cow	Morula	6.3889534939391615	3.9955913242523535	-0.7180675633656399	-0.4865860950132536	-2.1338451248614883	
Morula_2	Cow	Morula	6.118946558831081	4.017075096376059	-0.666194152786518	-0.5460948258964721	-1.9036036665032547	
Morula_3	Cow	Morula	6.204525587098623	4.029424364058016	-0.6723685216033457	-0.5657973952567744	-1.9489660314215569	
Morula_4	Cow	Morula	6.176742501781191	4.014016229258364	-0.6805806164387754	-0.5511548393599762	-1.9698747617480832	
Morula_5	Cow	Morula	5.985525717221111	3.997517439414725	-0.5469850954114059	-0.510153555315498	-1.2722531344796542	
Morula_6	Cow	Morula	5.901836325438855	4.003805073565025	-0.4462239149727819	-0.5383523606292738	-1.2484380577339542	
Morula_7	Cow	Morula	5.9093741437158736	4.010130277215148	-0.6860925626091895	-0.5876399103839065	-2.005600625678842	
Morula_8	Cow	Morula	6.153407503230433	3.9920230277638495	-0.4950928507365235	-0.4175601913611286	-1.3829342817603183	
Morula_9	Cow	Morula	6.375500288528584	4.013427127070696	-0.6167064085436064	-0.4394481476097981	-1.7841178405955112	
Oocyte_1	Cow	Oocyte	6.269752207246362	4.050650380863914	-0.0095501492614966	0.0344390602492923	-0.3037800487579487	
Oocyte_10	Cow	Oocyte	6.294734876541245	4.06822297934645	0.0180228725674471	-0.0065218085259416	0.100505640566404	
Oocyte_11	Cow	Oocyte	6.172581332694529	4.051152522447381	0.0249186576241534	0.0077997540596267	0.2627724510935972	
Oocyte_12	Cow	Oocyte	6.15707156522506	4.043401578910881	0.0075138954781255	-0.0181299047129236	0.1550122407996174	
Oocyte_2	Cow	Oocyte	6.288604879349918	4.05656185185946	0.0047138337641371	-0.0547481957796275	0.0554873141073098	
Oocyte_3	Cow	Oocyte	6.394668248704448	4.068074489907648	0.0206502718149596	-0.034975802209564	-0.0080330820644135	
Oocyte_4	Cow	Oocyte	6.440302219518213	4.072396966521762	-0.0571522238017678	-0.0514012869327265	-0.2291151822713658	
Oocyte_5	Cow	Oocyte	6.280457943934539	4.0600175425316	0.1198453170524354	-0.0147819444437959	0.3128337367957635	
Oocyte_6	Cow	Oocyte	6.27528140216538	4.065243501186464	0.0835530576386983	-0.0481206201460635	0.373554930759255	
Oocyte_7	Cow	Oocyte	6.331215665602457	4.060546755126169	0.0785787417212182	0.0141811632458473	0.1360101849551664	
Oocyte_8	Cow	Oocyte	6.261204086328478	4.057323705369284	0.0948741493916691	0.0413394567909982	0.1113600124312425	
Zygote_1	Cow	Zygote	6.28428180734758	4.047158001128309	0.0295752242927473	-0.1056125464144721	0.2782952210538403	
Zygote_10	Cow	Zygote	6.056468814194123	4.0296678026753225	0.1173683599243325	-0.0938109863151199	0.4517021497374763	
Zygote_11	Cow	Zygote	6.2120964729335055	4.022840610876528	-0.0603251900988811	-0.0543010521942183	-0.1727455987857601	
Zygote_12	Cow	Zygote	6.340083044257094	4.038977622332692	0.0842515402610927	-0.0385139106967068	-0.3369291029474812	
Zygote_2	Cow	Zygote	6.179842659552605	4.030559245291156	-0.0107852719198436	-0.1374064120583983	-0.0793402770935663	
