Unnamed: 0	control	A485	A485+Dux	symbol
227656	-0.0115425137478689	-0.0062496376076756	-0.0119941448556933	Rexo4
12850	-0.0001388167824785	-0.0019692022388464	-0.001509567746685	Coq7
11941	-3.68263159813694e-05	8.911735269401606e-06	-0.0002417972637278	Atp2b2
72748	-0.0002997629387191	0.000494230373014	0.0009020818996983	Hdhd3
71145	3.321408450861784e-05	0.0002745117332041	0.000191758602139	Scara5
19268	1.84776822267359e-05	0.0012296404102405	0.0010285684648812	Ptprf
228730	-9.022644773341046e-05	-0.0005347354300187	-0.0011463527621177	Kiz
319901	-7.467049336772444e-05	6.774563212708551e-05	4.321050638205136e-05	Dsel
64945	-0.0003550006088176	0.0008736800289216	0.0008379448840095	Cldn12
108089	0.0002141158085405	0.0002698629460821	0.0019349984342889	Rnf144a
21823	-0.0018058130747375	0.000257007233694	-0.0008706326527013	Th
239273	0.0009855739493383	0.0003558840698733	0.001224644177298	Abcc4
106347	0.0002246305432633	0.0001358333919976	0.0001923475184652	Ildr1
210719	0.0	0.0	0.0	Mkx
74100	5.789125927987885e-05	-0.0015494925440848	0.0001647899044763	Arpp21
236930	-0.0003483193909432	0.0001620347051429	-0.0003060144791011	Ercc6l
83771	-0.0014571877217824	0.0004082394748466	-0.0017317975995313	Tas1r3
69574	-0.0002489363101557	0.0002760571842111	-0.001745843893677	Cmbl
14012	-0.0008589576403911	-0.0010008150610498	-0.0014247104084956	Mpzl2
16590	0.0004294569959795	0.0002909864308756	0.0002920883514286	Kit
70779	2.396050197695946e-05	-0.0009226590525563	0.0006812285303054	Prdm5
14696	0.0033320560849446	0.0018810945856684	0.0029926289740227	Gnb4
16008	0.0070046135646628	0.0070152194615881	0.0120482940268823	Igfbp2
19057	-0.0010314862946425	-0.0001051040551769	-0.0009374040118607	Ppp3cc
84095	-0.0181943466417629	-0.0032162273373832	-0.0120247846020428	Pi4k2a
116847	0.0042340164627391	0.0030519959449898	0.0036987239303799	Prelp
77505	-0.0006591985936089	0.0014140396380742	0.0009543804020924	Dnhd1
14160	-4.380838920969858e-05	0.0003339665855014	8.116481534403678e-05	Lgr5
18039	0.0001930816054098	0.0005160827772065	0.0007664633801476	Nefl
16598	0.0014786038463578	0.0011513372919826	0.00135727390098	Klf2
108098	0.0006477444116199	0.0019027227888629	0.0006684959419498	Med21
56523	0.0021962281395323	0.0009829791063736	0.0013243584743302	Pmfbp1
235028	0.0011046556369766	0.0006780729814289	0.0026582122906632	Zfp426
23923	0.0055218419340814	0.0066903489415041	0.005517832235674	Aadat
19734	-0.0005513498428761	0.0006364515601176	-0.0004851929078455	Rgs16
18230	0.001649494027454	0.0011420424463813	0.0015447762307202	Nxn
56017	0.0025611227343204	0.0039937183283043	0.0050411902896232	Slc2a8
16601	-0.0326970673403386	-0.017290242005618	-0.028304614924422	Klf9
16467	0.0014644684124617	0.0012709040263517	0.0026440441032026	Atcay
11670	-0.0	-0.0	-0.0	Aldh3a1
208164	0.0	0.0	0.0	Fam180a
29856	0.0072196113265447	0.001125602811253	0.0098496144372076	Smtn
668940	0.0	0.0	0.0	Myh7b
54123	0.0014773670945223	0.0018892479055054	0.0023760248551698	Irf7
194655	-0.0019786377736664	-0.0031229299337817	-0.0029487616786549	Klf11
71766	3.596398334950411e-05	-0.0017422981869478	0.000126367073721	Raver1
320472	-0.0003156636066349	0.0004144323450799	0.0005098340293703	Ppm1e
73407	0.0004863794218148	-0.0007041616181556	-0.0005965530629725	Tepp
242819	9.53452638051382e-05	-0.0002060890403497	7.760749396752677e-05	Rundc3b
236285	0.0	0.0	0.0	Lancl3
74666	0.0004246101628666	-0.0004568895016665	0.0002325916996068	4930432K21Rik
12483	0.0009745352181194	0.0019245534922619	-0.0009305900467697	Cd22
320633	0.000140042158959	-0.0003788320118916	0.0002316389149191	Zbtb26
14276	0.0004592293732618	-0.0001040561525272	0.0002747460399898	Folr2
328365	-8.775437138158994e-05	-0.0003152834626151	-0.000118159933139	Zmiz1
77065	-0.0030150380941622	-0.0015470209842293	-0.0017369644001841	Ints7
654812	-0.0	-0.0	-0.0	Angptl7
14173	0.0	0.0	0.0	Fgf2
328381	0.000517103537073	0.0006015813951165	0.0010507328113781	Sh2d4b
108897	-0.0030070007413804	-0.0001390980465578	-0.0019248398904973	Aif1l
20198	0.0	0.0	0.0	S100a4
68777	0.0001893302950315	-0.0001536913272232	-1.2851254597258524e-05	Tmem53
72404	-0.0013734452396837	-0.0015943773506006	-0.0018460623036413	Wdr44
18616	0.0011862192658677	-0.0019564614772349	-0.0012612667255727	Peg3
22171	-0.0004440684828289	-0.0001922600625203	-0.0004571714514328	Tyms
20339	-0.0	-0.0	-0.0	Sele
218763	-0.0018124637220375	0.002005469040761	-0.0004087587761591	Lrrc3b
75345	0.0004483460204623	-0.0017327360686431	-0.0008279621383508	Slamf7
19246	0.0003388778249683	8.641763791534216e-05	0.0002658973869693	Ptpn1
224938	-0.0022362188625757	-0.0012082361817294	-0.0023416111310335	Pja2
15507	-0.0028574416947934	-0.00834605962125	-0.0126144179561021	Hspb1
26874	-0.0006982354469314	0.002437280313064	-0.0027094073383849	Abcd2
381157	-0.0017567514221227	0.0057113542033617	-0.0024025722121337	Greb1l
244954	-0.0009155402696662	0.0014296096043423	0.0019036630006204	Prss35
12029	0.0	0.0	0.0	Bcl6b
17345	-0.0001879957591705	0.000260381933266	-0.0001415784209435	Mki67
13106	0.000120402261779	0.0006219725392548	-0.0001646138042992	Cyp2e1
18142	-0.0	-0.0	-0.0	Npas1
240752	-0.0013294084458464	-0.0012363942821544	-0.001211898688986	Pik3c2b
67582	0.0012225061119638	0.0014008004841973	0.0022851671786066	Slc25a26
246707	0.0002265750031242	0.0002067128070323	0.0003087163327811	Emilin2
100515	-0.0147230796456762	-0.0193580325688179	-0.0177379049044435	Zfp518b
59288	0.0042007568571541	0.0026346548748132	0.0049276056066739	Dctn5
64424	-0.0001296922374348	-5.239622287616172e-05	-0.0001743091040854	Polr1e
15896	-0.0	-0.0	-0.0	Icam2
268709	-0.0	-0.0	-0.0	Fam107a
272465	-0.0017254450930617	-0.0014276972326697	-0.0017210333177352	Tmem255b
19329	-0.0	-0.0	-0.0	Rab17
100434	0.0004569863477407	0.0002336250484843	0.0001970713691263	Slc44a1
77116	0.0001069837247241	-0.0001203819712419	-2.045918289045354e-06	Mtmr2
22021	0.0020536790568797	0.0020313843142214	0.0011794584309701	Tpst1
52009	-0.0021974599229834	-0.0011266506694655	-0.001737819918885	Jpt2
83603	0.0002732968370079	-0.0040137366506384	-0.0024713674286019	Elovl4
110417	-0.0030028459956268	-0.0010483728612953	-0.0009550449961326	Pigh
