Unnamed: 0	coef	c_control	c_perturbed	delta	symbol	label	log2FC_control_L2C_vs_E2C
19275	-0.0034613958656814	-0.0031403182345854	-0.0001057437417086	0.0030345744928767	Ptprn	neither	1.083269678481233
20907	-0.0064486937687304	-0.0031063292731195	-0.0039110690258967	-0.0008047397527771	Stx1a	neither	1.078035140709115
231147	0.0042612119941628	-0.0030942353452002	-0.0042202183372857	-0.0011259829920854	Sh3tc1	neither	-1.2165509226579587
73852	0.0063915264915353	-0.0030789984363968	-0.0014229250585746	0.0016560733778222	D3Ertd751e	neither	-0.7744495014763972
100061	-0.0128711007001872	-0.0030653778775315	-0.000961783014272	0.0021035948632594	Lrrc19	neither	0.6575392454134174
225845	-0.0109497674033013	-0.0030353514270438	-0.0027007603704406	0.0003345910566031	Plaat3	neither	1.0023254214786983
14766	0.0049487416734817	-0.0029815406258241	-0.0025036983028206	0.0004778423230035	Adgrg1	neither	-1.5048282126442782
77889	0.0072375675349063	-0.0029273115808176	-0.0008834835656614	0.0020438280151561	Lbh	neither	-0.5742992376410878
11881	0.0063812477197798	-0.0029077965122127	-0.001666093744704	0.0012417027675086	Arsb	neither	-1.0283040285707938
52463	-0.0025895754085666	-0.002897915719021	-0.0027845461526926	0.0001133695663284	Tet1	neither	3.4952060760640444
52009	0.0066003997543273	-0.0028627097851487	-0.0010560624614958	0.0018066473236529	Jpt2	neither	-1.0532956762506651
21940	-0.0073410363036049	-0.0028369854977206	-0.0018413806976587	0.0009956048000619	Cd27	neither	0.6479955996925559
21334	0.0035245664890807	-0.002823594372539	-0.0008126478445906	0.0020109465279483	Tac2	neither	-1.5637685197421154
67755	-0.0039597444971752	-0.0028129498110916	-0.0021654889103783	0.0006474609007133	Ddx47	neither	2.341476809796317
73884	-0.0071310949379209	-0.0028010023232054	-0.0016997029635607	0.0011012993596446	Zdbf2	neither	1.2511057466845794
64706	-0.0083265505735371	-0.0027996901342494	-0.0009197350289167	0.0018799551053326	Scube1	neither	0.9618677873059356
12142	0.0034672677064413	-0.0027889337551204	-0.0021256499758317	0.0006632837792887	Prdm1	neither	-2.026596070618824
73668	-0.0066224482088027	-0.0027760125312135	0.0012770047689135	0.004053017300127	Ttc21b	neither	0.1993323988598768
102871	0.0094136498386132	-0.0027622592533464	-0.0032569833509524	-0.0004947240976059	Radx	neither	0.0335435754282857
58226	0.0059348267349075	-0.0027482370394025	-0.002171246292932	0.0005769907464705	Cacna1h	neither	-1.2063746029271063
71648	0.0029872723063853	-0.002733916367112	-0.0018608973975888	0.0008730189695232	Optn	neither	-2.2788014540627226
12971	0.0019979133332783	-0.0027297069216801	-0.0016539895398002	0.0010757173818799	Crym	neither	-1.496004218728765
74039	-0.0055898712462706	-0.0027269810082231	-0.0014515583535179	0.0012754226547052	Nfam1	neither	1.2438835939383677
93888	0.010272403002463	-0.0027119595555556	-0.004190043966529	-0.0014780844109734	Pcdhb17	neither	-0.4384194759117659
14595	-0.0036051530920514	-0.0027105485694694	-0.0036626689717748	-0.0009521204023054	B4galt1	neither	1.944296741325964
227394	-0.0031462402300806	-0.0026614180343926	-0.0021263740344068	0.0005350439999858	Slco4c1	neither	2.6518583555598547
58994	-0.0038191031848101	-0.002654403298928	-0.0028559754690363	-0.0002015721701082	Smpd3	neither	1.97441246315376
20216	0.0044060653832232	-0.002648316672876	-0.0010936275366285	0.0015546891362475	Acsm3	neither	-1.0115548259950349
15936	0.0027293642901533	-0.0026373497745748	-3.369004208603072e-05	0.0026036597324888	Ier2	neither	-1.5294201949822663
235587	0.0441080735611641	-0.0026212307286354	0.0233980493860074	0.0260192801146428	Parp3	neither	-0.5280151577576468
