species	analysis	interval	cell_number	delta	ci_lo	ci_hi	ci_excludes_0	p_boot_most_negative	is_zga	feature_coverage	n_genes_mapped	n_genes_raw
Rhesus	primary	Zygote->2-cell	1->2	0.0711310234358813	-0.1032617810204087	0.283564458047517	False	0.0	False	0.6363116239153237	13823.0	32386.0
Rhesus	primary	2-cell->4-cell	2->4	-0.3727408322220392	-0.3969582947875368	-0.3485233696565415	True	0.8055	False	0.6363116239153237	13823.0	32386.0
Rhesus	primary	4-cell->8-cell	4->8	0.2822477209339638	0.2403825095144901	0.3241129323534373	True	0.0	False	0.6363116239153237	13823.0	32386.0
Rhesus	primary	8-cell->16-cell	8->16	-0.3404236631466428	-0.3954945896455307	-0.285352736647755	True	0.1875	False	0.6363116239153237	13823.0	32386.0
Rhesus	primary_residualised_depth_detected	Oocyte->Zygote	fertilisation	-0.0515733097749756	-0.2388519895591611	0.1254424618829749	False	0.0	False			
Rhesus	primary_residualised_depth_detected	Zygote->2-cell	1->2	0.0342909627615887	-0.1440290765913661	0.2305826633485359	False	0.0	False			
Rhesus	primary_residualised_depth_detected	2-cell->4-cell	2->4	-0.2326282461469717	-0.2865835024714742	-0.1786729898224691	True	0.0	False			
Rhesus	primary_residualised_depth_detected	4-cell->8-cell	4->8	0.2427675912938031	0.2134122916392385	0.2721228909483676	True	0.0	False			
Rhesus	primary_residualised_depth_detected	8-cell->16-cell	8->16	-0.4498632225232062	-0.4909001407773302	-0.408826304269082	True	1.0	False			
Rhesus	EN_Chronoage_Multispecies_Multitissue_yugenediff	Oocyte->Zygote	fertilisation	-0.0756138461110572	-0.224170903974352	0.0421193166956029	False	0.0	False	0.6363116239153237	13823.0	32386.0
Rhesus	EN_Chronoage_Multispecies_Multitissue_yugenediff	Zygote->2-cell	1->2	0.0100578697348358	-0.1265490347249529	0.1684922181016643	False	0.0	False	0.6363116239153237	13823.0	32386.0
Rhesus	EN_Chronoage_Multispecies_Multitissue_yugenediff	2-cell->4-cell	2->4	-0.4600854936533687	-0.5083336884689615	-0.4118372988377757	True	1.0	False	0.6363116239153237	13823.0	32386.0
Rhesus	EN_Chronoage_Multispecies_Multitissue_yugenediff	4-cell->8-cell	4->8	0.3570371129079009	0.3375770035367143	0.3764972222790874	True	0.0	False	0.6363116239153237	13823.0	32386.0
Rhesus	EN_Chronoage_Multispecies_Multitissue_yugenediff	8-cell->16-cell	8->16	-0.193249175239874	-0.2213679235098251	-0.1651304269699228	True	0.0	False	0.6363116239153237	13823.0	32386.0
Rhesus	EN_Mortality_Multispecies_Multitissue_scaleddiff	Oocyte->Zygote	fertilisation	-0.3650972592416422	-0.6983617230021336	-0.0493158423996133	True	0.0	False	0.6363116239153237	13823.0	32386.0
Rhesus	EN_Mortality_Multispecies_Multitissue_scaleddiff	Zygote->2-cell	1->2	-0.008110916554863	-0.3930842213536492	0.4033217121505422	False	0.0	False	0.6363116239153237	13823.0	32386.0
Rhesus	EN_Mortality_Multispecies_Multitissue_scaleddiff	2-cell->4-cell	2->4	-1.0519989871060431	-1.2297581366067534	-0.8742398376053334	True	0.7475	False	0.6363116239153237	13823.0	32386.0
Rhesus	EN_Mortality_Multispecies_Multitissue_scaleddiff	4-cell->8-cell	4->8	1.28949516608955	1.0036102535926847	1.575380078586415	True	0.0	False	0.6363116239153237	13823.0	32386.0
Rhesus	EN_Mortality_Multispecies_Multitissue_scaleddiff	8-cell->16-cell	8->16	-0.8696449395980972	-1.2437571307656368	-0.4955327484305574	True	0.2525	False	0.6363116239153237	13823.0	32386.0
