Unnamed: 0	coef	c_control	c_perturbed	delta	symbol	label	log2FC_control_L2C_vs_E2C
22116	-0.0043283283422206	-0.0054032717446066	0.0017896673732859	0.0071929391178926	Tsks	neither	1.806595379112023
12294	0.0099765784009577	-0.0052740900092564	-0.0049761541308504	0.000297935878406	Cacna2d3	neither	-1.304726283312453
108159	-0.0082589598432114	-0.0052538471908052	-0.0015515873248843	0.0037022598659209	Ubxn8	neither	1.8479077002895443
231050	-0.0086772570753825	-0.0052514713154621	-0.0010115898042046	0.0042398815112575	Galnt11	neither	1.6126361011885313
75769	-0.0055123052838251	-0.0052386361353303	0.0019296615020962	0.0071682976374266	Plppr5	neither	2.2461757379723863
19876	-0.01201912463761	-0.0052332096960185	0.0007001357308274	0.0059333454268459	Robo1	neither	1.3036959242365962
59083	0.0046518311739354	-0.0052125638065163	-0.0011847381754761	0.0040278256310402	Fetub	neither	-2.5759952554142247
18553	0.0068757415278268	-0.0051489077035019	-0.0024509001556447	0.0026980075478571	Pcsk6	neither	-1.5331206320294184
74414	-0.0252309299812885	-0.0051061490927696	0.0060482185557269	0.0111543676484965	Polr3c	neither	0.5599840784993546
320974	-0.0073728989782958	-0.005083004873897	-2.2523172438963263e-05	0.005060481701458	Lrrn4	neither	1.7579765395915006
242585	-0.0072119199282595	-0.0050779148241044	-0.0008162470071008	0.0042616678170035	Slc35d1	neither	0.9555758685171304
16450	0.0153344759666431	-0.0050669301366993	-0.0050846989357031	-1.7768799003769e-05	Jag2	neither	-0.8050366590561372
12023	0.0081905962649039	-0.0050459684205404	-0.0056921893998284	-0.000646220979288	Barx2	neither	-0.6959125615624142
74393	-0.0051660066126887	-0.0050187028124295	0.000382714586729	0.0054014173991586	Map10	neither	1.7621162344769234
75695	-0.0139715720778124	-0.0050058000492121	0.0050201853362918	0.010025985385504	Rilpl1	neither	0.8598833616506802
30059	-0.0035929002790336	-0.0049685092760906	-0.0008925801500605	0.0040759291260301	Timm10	neither	3.744959870273554
93840	-0.0108332661984494	-0.0048617428433343	-0.0067024327714143	-0.0018406899280799	Vangl2	neither	0.6249734479952664
67728	-0.0055209489354074	-0.0048519122971712	-0.001438867190702	0.0034130451064691	Dph2	neither	2.272426815784767
