entrez_id	symbol	clock_coefficient	P1_log2FC_control_L2C_vs_E2C	P1_dynamic_gene_class	P1_contribution_control	P1_contribution_A485	P1_contribution_A485_DUX	P3_contribution_control	P3_contribution_Brg1_matKO	P3_log2FC_control_L2C_vs_E2C
244550	Podnl1	0.0026597834466659		not_expressed	0.0	0.0	0.0	0.0015315499122331	0.0017669507134315	0.7591948375813894
71609	Tradd	-0.0080365651872876		not_expressed	-0.0	-0.0	-0.0	0.0023215281825683	0.0013895499848141	-0.0347944661716582
12654	Chil1	0.0027004214488884		not_expressed	0.0	0.0	0.0	0.0	0.0	
74748	Slamf8	0.0014527409387158		not_expressed	0.0	0.0	0.0	0.0	0.0	
434341	Nlrc5	0.0082212950408709		not_expressed	0.0	0.0	0.0	0.0	0.0	
50773	Nt5c	-0.0006124708087416		not_expressed	-0.0	-0.0	-0.0	-0.0007401616876402	-0.0005089051246628	2.3145285277559218
22637	Zap70	0.0003676286198011		not_expressed	0.0	0.0	0.0	-5.8197385945085805e-05	-0.0001030294539254	0.4828155904345113
213417	Klhdc8a	0.0028309639389006		not_expressed	0.0	0.0	0.0	0.0	0.0	
22671	Rnf112	-0.0023154056810551		not_expressed	-0.0	-0.0	-0.0	-0.0	-0.0	
20295	Ccl17	-0.0029187572739268		not_expressed	-0.0	-0.0	-0.0	-0.0	-0.0	
68566	Caly	0.0014381291196681		not_expressed	0.0	0.0	0.0	0.0	0.0	
54195	Gucy1b1	-0.0015775761551681		not_expressed	-0.0	-0.0	-0.0	0.0012179491935854	-0.000786135024137	-0.7248902795894591
71781	Slc16a14	-0.0030288748832892		not_expressed	-0.0	-0.0	-0.0	-0.0	-0.0	
18784	Pla2g5	-0.0009342959503738		not_expressed	-0.0	-0.0	-0.0	-0.0014168079720705	-0.0001594774692951	2.0926447153819665
232078	Thnsl2	-0.0024368784963787		not_expressed	-0.0	-0.0	-0.0	-0.0	-0.0	
12505	Cd44	0.007725886894818		not_expressed	0.0	0.0	0.0	0.0	0.0	
53604	Zpbp	0.0066243727791868		not_expressed	0.0	0.0	0.0	0.0048409056982035	-6.390587584173538e-05	0.6090244332854464
20391	Sgca	0.0023670772325921		not_expressed	0.0	0.0	0.0	-0.0022679700908666	-0.0022479612363906	-1.0494427775214263
574402	Gpr17	-0.0103638245392547		not_expressed	-0.0	-0.0	-0.0	-0.0	-0.0	
18400	Slc22a18	0.0050251429895019		not_expressed	0.0	0.0	0.0	0.0	0.0	
70370	Fbln7	0.0009340327333792		not_expressed	0.0	0.0	0.0	0.0	0.0	
16453	Jak3	0.0170701989453279		not_expressed	0.0	0.0	0.0	-0.0065727885051213	0.0025292164805945	-0.3277117127020754
319655	Podxl2	-0.0123704902796115		not_expressed	-0.0	-0.0	-0.0	0.0063957257254738	0.0056872158325404	-0.806875988599762
105193	Nhlrc1	-0.0145408987117117		not_expressed	-0.0	-0.0	-0.0	-0.0118557692177069	-0.0076091355556542	1.2133362851763
237611	Stac3	-0.007538656899673		not_expressed	-0.0	-0.0	-0.0	0.002658435116668	0.0011077879072887	-0.8751946591848743
56485	Slc2a5	0.0008366872199686		not_expressed	0.0	0.0	0.0	-0.0002996765728247	-2.6700473766722188e-05	-0.2902093196119823
23966	Tenm4	0.0002621929674886		not_expressed	0.0	0.0	0.0	-9.348474166901567e-05	-7.115756249123889e-05	-0.4054838506842403
16402	Itga5	0.0022884778982329		not_expressed	0.0	0.0	0.0	-0.0001329048299171	0.0005440528528038	0.180032976228649
11450	Adipoq	-0.0028917209086234		not_expressed	-0.0	-0.0	-0.0	-0.0	-0.0	
20897	Stra6	0.0032399085346318		not_expressed	0.0	0.0	0.0	-0.0004723496443592	-0.0023921120051201	-0.2867469367745658
50766	Crim1	0.0102165231051744		not_expressed	0.0	0.0	0.0	0.0049295985898163	-0.0031313441795753	0.937626389840764
330627	Trim66	0.0143465561100924		not_expressed	0.0	0.0	0.0	-0.0072355256946015	-0.004024762631865	-0.5184537807080837
67564	Tmem35a	-0.0012811923586953		not_expressed	-0.0	-0.0	-0.0	-0.0	-0.0	
109857	Cbr3	0.0037585991758464		not_expressed	0.0	0.0	0.0	0.0	0.0	
14580	Gfap	0.0087059070092148		not_expressed	0.0	0.0	0.0	-0.0041205700130343	-0.0054369220575963	-0.6518857970738575
243897	Ggn	0.0037612493069798		not_expressed	0.0	0.0	0.0	-0.000703529179315	-0.0012663337452601	-0.1624353944457641
14017	Evi2a	0.0049152695627905		not_expressed	0.0	0.0	0.0	0.0	0.0	
228576	Mall	-0.0027039447794265		not_expressed	-0.0	-0.0	-0.0	0.0024371845499481	0.0001370478810916	-0.856264236163206
16176	Il1b	-0.0014507993962377		not_expressed	-0.0	-0.0	-0.0	-0.0	-0.0	
