dataset	analysis	species	sample_id	gsm	srr	stage	arm	variant	reference	clock_value
GSE280522	Gate 3 primary	Mouse	RNA_E2C_DMSO_rep1	GSM8599757	SRR30827786	E2C	control	V0	control E2C	0.0031902585536177
GSE280522	Gate 3 primary	Mouse	RNA_L2C_A485+Dux_rep1	GSM8599777	SRR30827773	L2C	A485+Dux	V0	control E2C	-0.1923214656513557
GSE280522	Gate 3 primary	Mouse	RNA_E2C_A485+Dux_rep1	GSM8599765	SRR30827714	E2C	A485+Dux	V0	control E2C	-0.0622218064605502
GSE280522	Gate 3 primary	Mouse	RNA_E2C_DMSO_rep3	GSM8599759	SRR30827774	E2C	control	V0	control E2C	0.0260847122950939
GSE280522	Gate 3 primary	Mouse	RNA_E2C_A485+Dux_rep2	GSM8599766	SRR30827713	E2C	A485+Dux	V2	control E2C	-0.1787909196955732
GSE280522	Gate 3 primary	Mouse	RNA_E2C_A485_rep3	GSM8599763	SRR30827730	E2C	A485	V2	control E2C	-0.0520759883331222
GSE280522	Gate 3 primary	Mouse	RNA_E2C_A485+Dux_rep4	GSM8599768	SRR30827783	E2C	A485+Dux	V2	control E2C	-0.111566111692624
GSE280522	Gate 3 primary	Mouse	RNA_L2C_A485_rep3	GSM8599775	SRR30827776	L2C	A485	V2	control E2C	-0.1292241681827003
GSE280522	Gate 3 primary	Mouse	RNA_L2C_A485_rep1	GSM8599773	SRR30827778	L2C	A485	V2	control E2C	-0.108654336292919
GSE280522	Gate 3 primary	Mouse	RNA_L2C_A485+Dux_rep2	GSM8599778	SRR30827772	L2C	A485+Dux	V2	control E2C	-0.1227223843170133
GSE280522	Gate 3 primary	Mouse	RNA_L2C_DMSO_rep1	GSM8599769	SRR30827782	L2C	control	V2	control E2C	-0.3142240048436068
GSE280522	Gate 3 primary	Mouse	RNA_L2C_A485+Dux_rep4	GSM8599780	SRR30827770	L2C	A485+Dux	V2	control E2C	-0.166926245510186
GSE280522	Gate 3 primary	Mouse	RNA_E2C_A485_rep4	GSM8599764	SRR30827719	E2C	A485	V2	control E2C	-0.0560988332487221
GSE280522	Gate 3 primary	Mouse	RNA_L2C_DMSO_rep4	GSM8599772	SRR30827779	L2C	control	V2	control E2C	-0.163142527537343
GSE280522	Gate 3 primary	Mouse	RNA_L2C_A485_rep4	GSM8599776	SRR30827775	L2C	A485	V2	control E2C	-0.1205172134591711
GSE280522	Gate 3 primary	Mouse	RNA_E2C_DMSO_rep4	GSM8599760	SRR30827763	E2C	control	V2	control E2C	0.0192784065938168
GSE280522	Gate 3 primary	Mouse	RNA_L2C_DMSO_rep2	GSM8599770	SRR30827781	L2C	control	V2	control E2C	-0.2307359480750237
GSE280522	Gate 3 primary	Mouse	RNA_L2C_A485+Dux_rep3	GSM8599779	SRR30827771	L2C	A485+Dux	V2	control E2C	-0.1299065530582321
GSE280522	Gate 3 primary	Mouse	RNA_E2C_A485_rep2	GSM8599762	SRR30827741	E2C	A485	V2	control E2C	-0.0958308723741449
GSE280522	Gate 3 primary	Mouse	RNA_L2C_DMSO_rep3	GSM8599771	SRR30827780	L2C	control	V2	control E2C	-0.2231837418150914
GSE280522	Gate 3 primary	Mouse	RNA_E2C_A485_rep1	GSM8599761	SRR30827752	E2C	A485	V2	control E2C	-0.1017987365066801
GSE280522	Gate 3 primary	Mouse	RNA_E2C_A485+Dux_rep3	GSM8599767	SRR30827784	E2C	A485+Dux	V2	control E2C	-0.0497778888097377
GSE280522	Gate 3 primary	Mouse	RNA_E2C_DMSO_rep2	GSM8599758	SRR30827785	E2C	control	V2	control E2C	-0.0849679002473581
GSE280522	Gate 3 primary	Mouse	RNA_E2C_DMSO_rep1	GSM8599757	SRR30827786	E2C	control	V2	control E2C	0.0039841802735115
GSE280522	Gate 3 primary	Mouse	RNA_L2C_A485+Dux_rep1	GSM8599777	SRR30827773	L2C	A485+Dux	V2	control E2C	-0.179358630011416
GSE280522	Gate 3 primary	Mouse	RNA_E2C_A485+Dux_rep1	GSM8599765	SRR30827714	E2C	A485+Dux	V2	control E2C	-0.0625599989526553
GSE280522	Gate 3 primary	Mouse	RNA_E2C_DMSO_rep3	GSM8599759	SRR30827774	E2C	control	V2	control E2C	0.0263105460234239
GSE221985	Gate 3 primary	Mouse	RNA_L2C_Ctrl_rep2	GSM6911244	SRR22944191	L2C	control	V0	control E2C	-0.0946871876566639
GSE221985	Gate 3 primary	Mouse	RNA_L2C_KO_rep1	GSM6911245	SRR22944186	L2C	Tardbp_matKO	V0	control E2C	0.0782202922102903
GSE221985	Gate 3 primary	Mouse	RNA_L2C_Ctrl_rep1	GSM6911243	SRR22944187	L2C	control	V0	control E2C	-0.0949688530946398
GSE221985	Gate 3 primary	Mouse	RNA_L2C_KO_rep2	GSM6911246	SRR22944185	L2C	Tardbp_matKO	V0	control E2C	0.0575782741892315
GSE221985	Gate 3 primary	Mouse	RNA_E2C_KO_rep2	GSM6911238	SRR22944193	E2C	Tardbp_matKO	V0	control E2C	0.157262676359838
GSE221985	Gate 3 primary	Mouse	RNA_E2C_Ctrl_rep1	GSM6911235	SRR22944197	E2C	control	V0	control E2C	0.0697627839934171
GSE221985	Gate 3 primary	Mouse	RNA_E2C_KO_rep1	GSM6911237	SRR22944198	E2C	Tardbp_matKO	V0	control E2C	0.0960433054558447
GSE221985	Gate 3 primary	Mouse	RNA_E2C_Ctrl_rep2	GSM6911236	SRR22944194	E2C	control	V0	control E2C	-0.0588185196405321
GSE221985	Gate 3 primary	Mouse	RNA_L2C_Ctrl_rep2	GSM6911244	SRR22944191	L2C	control	V2	control E2C	-0.0663973966764497
GSE221985	Gate 3 primary	Mouse	RNA_L2C_KO_rep1	GSM6911245	SRR22944186	L2C	Tardbp_matKO	V2	control E2C	0.0678175000143152
GSE221985	Gate 3 primary	Mouse	RNA_L2C_Ctrl_rep1	GSM6911243	SRR22944187	L2C	control	V2	control E2C	-0.0678905739127067
GSE221985	Gate 3 primary	Mouse	RNA_L2C_KO_rep2	GSM6911246	SRR22944185	L2C	Tardbp_matKO	V2	control E2C	0.0565532208188189
GSE221985	Gate 3 primary	Mouse	RNA_E2C_KO_rep2	GSM6911238	SRR22944193	E2C	Tardbp_matKO	V2	control E2C	0.1823550753722785
GSE221985	Gate 3 primary	Mouse	RNA_E2C_Ctrl_rep1	GSM6911235	SRR22944197	E2C	control	V2	control E2C	0.0767560906455498
GSE221985	Gate 3 primary	Mouse	RNA_E2C_KO_rep1	GSM6911237	SRR22944198	E2C	Tardbp_matKO	V2	control E2C	0.1161614217481183
GSE221985	Gate 3 primary	Mouse	RNA_E2C_Ctrl_rep2	GSM6911236	SRR22944194	E2C	control	V2	control E2C	-0.066597797509801
GSE300734	Gate 3 primary	Mouse	KO_L2C_RNA-seq_r2	GSM9067498	SRR34172921	L2C	Brg1_matKO	V0	control E2C	-0.0765186661438225
GSE300734	Gate 3 primary	Mouse	WT_E2C_RNA-seq_r1	GSM9067488	SRR34172922	E2C	control	V0	control E2C	-0.0111814557521834
GSE300734	Gate 3 primary	Mouse	WT_E2C_RNA-seq_r3	GSM9067490	SRR34172933	E2C	control	V0	control E2C	0.0135360851947112
GSE300734	Gate 3 primary	Mouse	KO_L2C_RNA-seq_r3	GSM9067499	SRR34172920	L2C	Brg1_matKO	V0	control E2C	-0.0991366911078856
GSE300734	Gate 3 primary	Mouse	WT_L2C_RNA-seq_r3	GSM9067496	SRR34172935	L2C	control	V0	control E2C	-0.0681765045745846
GSE300734	Gate 3 primary	Mouse	WT_L2C_RNA-seq_r2	GSM9067495	SRR34172936	L2C	control	V0	control E2C	-0.2589395075291999
GSE300734	Gate 3 primary	Mouse	WT_L2C_RNA-seq_r1	GSM9067494	SRR34172937	L2C	control	V0	control E2C	-0.1836605370237493
GSE300734	Gate 3 primary	Mouse	KO_L2C_RNA-seq_r1	GSM9067497	SRR34172934	L2C	Brg1_matKO	V0	control E2C	-0.0866428718078059
GSE300734	Gate 3 primary	Mouse	KO_E2C_RNA-seq_r2	GSM9067492	SRR34172939	E2C	Brg1_matKO	V0	control E2C	-0.1118050159592244
GSE300734	Gate 3 primary	Mouse	KO_E2C_RNA-seq_r1	GSM9067491	SRR34172932	E2C	Brg1_matKO	V0	control E2C	-0.0145596993261867
GSE300734	Gate 3 primary	Mouse	KO_E2C_RNA-seq_r3	GSM9067493	SRR34172938	E2C	Brg1_matKO	V0	control E2C	0.0510419371208949
GSE300734	Gate 3 primary	Mouse	KO_L2C_RNA-seq_r2	GSM9067498	SRR34172921	L2C	Brg1_matKO	V2	control E2C	-0.0656462339768623
GSE300734	Gate 3 primary	Mouse	WT_E2C_RNA-seq_r1	GSM9067488	SRR34172922	E2C	control	V2	control E2C	-0.0108338469514571
GSE300734	Gate 3 primary	Mouse	WT_E2C_RNA-seq_r3	GSM9067490	SRR34172933	E2C	control	V2	control E2C	0.0133887983368543
GSE300734	Gate 3 primary	Mouse	KO_L2C_RNA-seq_r3	GSM9067499	SRR34172920	L2C	Brg1_matKO	V2	control E2C	-0.086324080721033
GSE300734	Gate 3 primary	Mouse	WT_L2C_RNA-seq_r3	GSM9067496	SRR34172935	L2C	control	V2	control E2C	-0.054569855596181
GSE300734	Gate 3 primary	Mouse	WT_L2C_RNA-seq_r2	GSM9067495	SRR34172936	L2C	control	V2	control E2C	-0.2334770229143534
GSE300734	Gate 3 primary	Mouse	WT_L2C_RNA-seq_r1	GSM9067494	SRR34172937	L2C	control	V2	control E2C	-0.160481971376354
GSE300734	Gate 3 primary	Mouse	KO_L2C_RNA-seq_r1	GSM9067497	SRR34172934	L2C	Brg1_matKO	V2	control E2C	-0.0739910385233618
GSE300734	Gate 3 primary	Mouse	KO_E2C_RNA-seq_r2	GSM9067492	SRR34172939	E2C	Brg1_matKO	V2	control E2C	-0.1175139085134073
GSE300734	Gate 3 primary	Mouse	KO_E2C_RNA-seq_r1	GSM9067491	SRR34172932	E2C	Brg1_matKO	V2	control E2C	-0.0187298948851494
GSE300734	Gate 3 primary	Mouse	KO_E2C_RNA-seq_r3	GSM9067493	SRR34172938	E2C	Brg1_matKO	V2	control E2C	0.0481655552112142
GSE248499	Gate 3 secondary	Mouse	SCNT, cont, rep1	GSM7916005	SRR26923900	L2C	SCNT_control	V0	control libraries	-0.1631905335825416
GSE248499	Gate 3 secondary	Mouse	SCNT, cont, rep2	GSM7916006	SRR26923899	L2C	SCNT_control	V0	control libraries	-0.0862034600297156
GSE248499	Gate 3 secondary	Mouse	SCNT, Kdm3a-injected, rep2	GSM7916012	SRR26923893	L2C	SCNT_Kdm3a	V0	control libraries	-0.1530022155230412
GSE248499	Gate 3 secondary	Mouse	SCNT, Kdm4d-injected, rep1	GSM7916013	SRR26923892	L2C	SCNT_Kdm4d	V0	control libraries	-0.2817305831116928
GSE248499	Gate 3 secondary	Mouse	IVF, rep4	GSM7916004	SRR26923901	L2C	control	V0	control libraries	0.0208417953630864
GSE248499	Gate 3 secondary	Mouse	SCNT, Kdm4d-injected, rep2	GSM7916014	SRR26923891	L2C	SCNT_Kdm4d	V0	control libraries	-0.1864272788627287
GSE248499	Gate 3 secondary	Mouse	IVF, rep3	GSM7916003	SRR26923902	L2C	control	V0	control libraries	0.0338476221877288
GSE248499	Gate 3 secondary	Mouse	IVF, rep2	GSM7916002	SRR26923903	L2C	control	V0	control libraries	-0.0186873641152868
GSE248499	Gate 3 secondary	Mouse	SCNT, Kdm3a-injected, rep1	GSM7916011	SRR26923894	L2C	SCNT_Kdm3a	V0	control libraries	-0.1594777515114464
GSE235547	Gate 3 secondary	Mouse	Late 2-cell siCtrl rep2	GSM7505043	SRR24991731	L2C	control_siCtrl	V0	control libraries	-0.1528757711657088
GSE235547	Gate 3 secondary	Mouse	Late 2-cell siObox3_2 rep2	GSM7505045	SRR24991729	L2C	siObox3	V0	control libraries	0.0121302201108077
GSE235547	Gate 3 secondary	Mouse	ICSI late 2-cell rep2	GSM7505047	SRR24991727	L2C	control_ICSI	V0	control libraries	0.0277880167231956
GSE235547	Gate 3 secondary	Mouse	Late 2-cell siCtrl rep1	GSM7505042	SRR24991732	L2C	control_siCtrl	V0	control libraries	-0.0593602518054535
GSE235547	Gate 3 secondary	Mouse	SCNT Obox3 late 2-cell rep2	GSM7505051	SRR24991723	L2C	SCNT_Obox3	V0	control libraries	-0.0690552282330049
GSE235547	Gate 3 secondary	Mouse	Late 2-cell siObox3_2 rep1	GSM7505044	SRR24991730	L2C	siObox3	V0	control libraries	-0.0061254486347536
GSE235547	Gate 3 secondary	Mouse	SCNT EGFP late 2-cell rep1	GSM7505048	SRR24991726	L2C	SCNT_EGFP	V0	control libraries	0.045994023607633
GSE235547	Gate 3 secondary	Mouse	ICSI late 2-cell rep1	GSM7505046	SRR24991728	L2C	control_ICSI	V0	control libraries	0.0520689579978102
GSE235547	Gate 3 secondary	Mouse	SCNT EGFP late 2-cell rep2	GSM7505049	SRR24991725	L2C	SCNT_EGFP	V0	control libraries	-0.0634996145490817
GSE235547	Gate 3 secondary	Mouse	SCNT Obox3 late 2-cell rep1	GSM7505050	SRR24991724	L2C	SCNT_Obox3	V0	control libraries	0.0372553055715008
GSE162345	Gate 3 secondary	Mouse	aAm_late2cell_NT1	GSM5610466	SRR16201705	NT54hpi	alpha-amanitin_54hpi	V0	control libraries	0.2055145096565689
GSE162345	Gate 3 secondary	Mouse	aAm_late2cell_NT3	GSM5610468	SRR16201707	NT54hpi	alpha-amanitin_54hpi	V0	control libraries	0.2049006932532192
GSE162345	Gate 3 secondary	Mouse	late2cell_NT3	GSM5610465	SRR16201704	NT54hpi	control_54hpi	V0	control libraries	0.0345843271920829
GSE162345	Gate 3 secondary	Mouse	aAm_early2cell_NT3	GSM5610462	SRR16201701	NT45hpi	alpha-amanitin_45hpi	V0	control libraries	0.0094958148020574
GSE162345	Gate 3 secondary	Mouse	late2cell_NT1	GSM5610463	SRR16201702	NT54hpi	control_54hpi	V0	control libraries	0.2231070456660898
GSE162345	Gate 3 secondary	Mouse	early2cell_NT3	GSM5610459	SRR16201698	NT45hpi	control_45hpi	V0	control libraries	-0.1075159199025856
GSE162345	Gate 3 secondary	Mouse	early2cell_NT2	GSM5610458	SRR16201697	NT45hpi	control_45hpi	V0	control libraries	-0.1116584486296474
GSE162345	Gate 3 secondary	Mouse	early2cell_NT1	GSM5610457	SRR16201696	NT45hpi	control_45hpi	V0	control libraries	-0.0020818620963899
GSE162345	Gate 3 secondary	Mouse	aAm_late2cell_NT2	GSM5610467	SRR16201706	NT54hpi	alpha-amanitin_54hpi	V0	control libraries	0.1007193699586909
GSE162345	Gate 3 secondary	Mouse	aAm_early2cell_NT2	GSM5610461	SRR16201700	NT45hpi	alpha-amanitin_45hpi	V0	control libraries	0.071402517368438
GSE162345	Gate 3 secondary	Mouse	aAm_early2cell_NT1	GSM5610460	SRR16201699	NT45hpi	alpha-amanitin_45hpi	V0	control libraries	0.1627080911793556
GSE162345	Gate 3 secondary	Mouse	late2cell_NT2	GSM5610464	SRR16201703	NT54hpi	control_54hpi	V0	control libraries	-0.0378372066328457
